Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
1941: Counter Attack,1941: Counter Attack,1941counterattack,Japan,1991-08-23,Hudson,Hudson,#players:2:coop #genre:shmup>v #addon:pcemultitap #pce:pcsg #port:arcade #lang:ja,30686dba4795521174658de2492e0046,66873b0e0cc699aa75daf06a3f74c0508037e605,5006f2da9cb645312a0c589044df50d3f97106d2d2291bf9883dacf98960c2fe,1cdce3c87a54bd924a3c72e690784a3df9846ef66677e8c21589a038e9e5a5177bbe9e14af6dd554435416aa893d692a4dff5a6b8d6e9ce7dfdf90951d0591e4 
1943 Kai@1943改,1943 Kai@1943改,1943kai,Japan,1991-03-22,CAPCOM,Naxat,#players:2:coop #genre:shmup>v #addon:pcemultitap #port:arcade #lang:ja,42cfdf8495ce8338d83c73b38ae274b6,3ac86354155ca01859c53e2f2287a715cd3fca13,a733390f431744b9bf7f9ad06e849b67b909ffb19067624fd6c22bcf7408044f,bfe14871d985052b5f1ca58d278eec294782d01762c9ab7ee4e50db16e507f1c612229e8fde37e42117e2101ae7db0b7b5f8ceca6e539e5ab840e8e5041fa581 
21 Emon: Mezase Hotel Ō!!@21エモン めざせ!ホテル王,21 Emon: Mezase Hotel Ō!!@藤子・F・不二雄の21エモン めざせ!ホテル王,21emonmezasehotelou,Japan,1994-12-16,NEC,NEC,#players:4:vs #genre:board #licensed $manganime #lang:ja,86e3ed839f053bb99ebf1760439c3a3c,de80a0d266916799ee5666815d9fd11602bdbdec,f5b749b382d133ec69be06468dc694e47d83dd943d651d1693e6104dcf373514,808e57cf6f403e95a1c9deaf736ffc81309aa3627724f99959ffc1acc44a4a2c83d7d257e97760e321852f2d6ddbed188a57003a25769b7ab0c726f59c12e200
Adventure Island,Adventure Island@Adventure Island アドベンチャーアイランド,adventureisland,Japan,1991-04-19,Hudson,Hudson,#players:1 #genre:platformer:action:adventure #save:password #port:mark3 #lang:ja,65ea7bebc2ecaeda8cee373ff2a83534,01ad5bbd7316740409e01917c19494cb26173ff5,fbe3f6347639a50e84de61fa23b126e3a2fb11c21cd7a735fad99de2b2227fac,c52e0b7e9c6bea5ece05a035f1b3747bd5d2f882c4608837610671a347e117ef0473ebea977ac98446efbd5ff9928b6bb10db7135d55b88e047a0053d12b50f6
Aero Blasters,Aero Blasters,aeroblasters,Japan,1990-11-02,Inter State,Kaneko,#players:2:coop #genre:shmup>h #addon:pcemultitap #port:arcade #lang:ja,3d3b872d9031fa3227d68f2239b00b82,748ec92246140565d95f6fb727de6167227b85d3,5d935d9c122c9fd851770428de21ebe82fd4d10553f485b9dfd7e694f43cf024,b96c475eb4f8119ce24dca3fa06ed474205194df7e54d3cf50b1dbc561d28766cd488842e648eda90aaebdca586ce6b7f314eb0a018e01ea576404658396990d
After Burner II,After Burner II アフターバーナー,afterburner2,Japan,1990-09-28,BITS,NEC Avenue,#players:1 #genre:railshooter #addon:xe1ap #port:arcade #lang:en,ac0cdee014e725e428fde5774751ff8d,50b9d22fe5179aee5cb95022472714ef8483841f,53416fb12207212b5206d359b951a41566725c9bd8b9151e08c0e74bc0e36c2f,3d3cee5fa06acc5ebfeb57851b6999c363e7b45959a7d195858ebb847803406ee7beccc7a50a28c2ad7bfef676bda004374c4482a051d4a1fdabccc5a7cdcc4e
Aldynes@Aldynes オルディネス,Aldynes: The Misson Code for Rage Crisis@Aldynes: The Misson Code for Rage Crisis オルディネス,aldynes,Japan,1991-02-22,Hudson,Hudson,#players:1 #genre:shmup>h #pce:pcsg #lang:en,8ce21667658ef9c025ad007f65147c6d,d876248ee1b80ad11633fd4be8aa21a187b52193,5f3b430e34c79218a9f89a403a286037b2fb172b528373df5ba70aedbecd36d7,1d6763c00dc3f4495dbe76137e9c6543a26b5eba2506dff6caeffe6b3160d3848f45795aa138312898b2c2a593c8587a9856a46c09d29d25e8416c4bb851af8b
Alien Crush,Alien Crush@エイリアンクラッシュ,aliencrush,Japan,1988-09-14,Compile,Naxat,#players:1 #genre:pinball #lang:en,6697cf388dd28e67c92276ce598dbec8,a1e6ad82b66a82c25e0a9e25fb8be370f49c8c2d,0539f2ab4b72f4221383affcf84d9a0bcd1f507cdeb9023a0123f1e5540d1965,762866b25a237bdc9ed33eb7009bdb0d19328119490e4f34904e34c76fa35eaceae0b3d42a363a6c6c3424bb8e88c1cb17e441f05aff109754356a699cf03dab
Ankoku Densetsu@暗黒伝説,Ankoku Densetsu@暗黒伝説,ankokudensetsu,Japan,1990-09-07,Atlus/Red,Victor,#players:1 #genre:action:platformer #lang:en,cc264acf289ab120f52457d5311d7aec,b6ae249f0a4954df6e53c21ba81646ecbc7c2945,d32de47c54e5d328aa2fab69285dabb59666df7fa70c0edb9a216fa754e6383b,5c7d37ee03a8f9e3de6c7a203c347cc2bc3af92cc417984012b574be76c0f5be145ac5ec02b3b2be4634dac30782df72449676f3ec5f72a8e9a237bb984248c0
Aoi Blink@青いブリンク,Aoi Blink@青いブリンク,aoiblink,Japan,1990-04-27,Westone,Hudson,#players:1 #genre:platformer #licensed $manganime #lang:ja,f1a8431d75e05812590d0f23135eecaa,367aa348fca42a2aa1ce28bb88800d2fb0cd0ed7,789efd169617f2a3343319d676736fb6ff4369ed45c17c5d124b3fe71272dd74,4b66fa78b7fa77cb7928e43d811547b1108304d204466b4006a9fce7481e2e2e8f88517589f714bc943602daa1c7c1c0624f25c9c27d6926b4cd918de2caacb2
Appare: Gateball@あっぱれ ゲートボール,Appare! Gateball@あっぱれ! ゲートボール,apparegateball,Japan,1988-12-22,Westone,Hudson,#players:2:vs #genre:sports #addon:pcemultitap #lang:ja,3f2f9b623fb76e272561a6db1ea0f875,5efee117bb8fd24ccbc8ed68ae5d36cea960f37e,204347aa8bb5fe51095d6d0b469a5d52bc2bd7c726baf47e52f68a11c4e50cd1,34686a16d958d4e4143145f1ccd3aa916e7035e187998cf2b759541b4c86564e2ca586bfe31b42c3ed6f0081d41591e87e4fd653bca362f5cac40d0bc3c70b64
Armed F,Armed F,armedf,Japan,1990-03-23,Manjyudo,Pack-In-Video,#players:1 #genre:shmup>v #lang:ja,c9efecc5c9854bfe79db25cd01614802,a326c9cece6f14b82629c4c79b34df819b022dce,12a6060b9ab618345f9527122ef1b7b4136476f97224f4006376e0beb5eececd,0f72f1ac73b472f002ebb737a6f2d329dbfb087607651cf838b567ab55d7c6f856078a21515a682c996dd8826e173761168288cc4bce9fedeaf1d475760db984
Artist Tool@Artist Tool アーティストツール,Artist Tool@Artist Tool アーティストツール,artisttool,Japan,1989-09-29,Hudson,NEC,#players:1 #genre:drawing #addon:illustbooster:printbooster:photoreader #lang:ja,549d32279281af79c104f51a3c603628,691ac36ccfcade010e34e2d1dedbcc9af6ed5cd4,326b394257df7cf6bdd6f11e8a672cd5fdf5fc9b602fb1544c308d3b71f62fa2,df0400e2ac187f2e86e337c2a358c79ea84f574e8043b64e0e59b4ff1be733d3d0a155b1b66aaa59447932a59984e7cd3b00a47d5f6b464c892a44b052111dde
Atomic Robo-Kid Special,Atomic Robo-Kid Special@Atomic Robo-Kid Special トミックロボキッド,atomicrobokidspecial,Japan,1990-01-19,UPL/Mecano Associates,UPL,#players:1 #genre:shmup>h #port:arcade #lang:en,548ca5eb135f526f3a2837f5259d795f,1ea46287855ef25e4614a3f37a7037baa5a49545,538ee65174b39b792620a613b7c39cc5dc55dae2fda1af73ee79228035161a38,f471fa110d251bef5e96465f87c4421a2e5a54976a1656f6f8aebcd711137f8d4be239dbff1114f5cc2221e344436a2e6dd42350fe94da3a51a1b216808210b6
Ballistix,Ballistix,ballistix,Japan,1991-12-13,Psygnosis,Coconuts,#players:2:vs #genre:sports #addon:pcemultitap #port:amiga #lang:en,6de6635138b034e133720d11279b8ea7,e687abeb0f94e85fafa52e92b0beb82542f0c368,1a965c5a290540debfd81bf68929f0b0a0a877a0bcfa340d12adab95552ff2ec,8222bca650542090d0af6d1157f7a9c0002cc2601c76a8e22cc07d84b0fab4dbfd1231c1dc0c8f0c4f1a36390ad00bf8f8c26e20abbd223e568a2fdaa0c72f49
Bari Bari Densetsu@バリバリ伝説,Bari Bari Densetsu@バリバリ伝説,baribaridensetsu,Japan,1989-11-29,Taito,Taito,#players:1 #genre:racing:sports>motogp #save:password #licensed $manganime #lang:en,539eb9333d3e39f597786288872917dc,d063cf1b378a4741e4eb01e9de99d6f618b077da,924ddf6db6c9eefc3218cf691abc18ee28e41afd04ab9dc5d4536f8fd32b60e4,e58f944cf9fab8c84d204de30f887f2ed643b0cf231a375139619d748cad9fa92e37ea15093a55bcb90ec5f890353cf37d7d5b421dd71fa15c9aeda9f27d0774
Barunba,Barunba@Barunba バルンバ,barunba,Japan,1990-04-27,Zap,NAMCOT,#players:1 #genre:shmup>h #addon:avenuepad3 #lang:ja,a39fba5fe056ae0fb25ded19f1cdaeed,5f110864af252462e144aa01a7a6ecb88d2a4eb1,4629ed7f26d8b4ae3d4d402ab43917556a0e810ee38f4bb831503b70159008fe,efe32c7214347f677ea7d9fc36b63c86760ecbf6fb9394c58e8a73b417f8c4bbdd9e57e3bb7e54c3fb1e47e83df94d4eee77ce646b9c788162e5d59ddf235aff
Batman,Batman,batman,Japan,1990-10-12,Sunsoft,Sunsoft,#players:1 #genre:action:maze #save:password #licensed $movie $batman #lang:en,6c35cbaf97b7285a9373b9ae9f553411,87e93e23c0c3ef960e9a226fc10a5fc9625d43a7,5bb7b6cf9c3fdc97eaaf6fa923ad524f2b751bbc1a11bfc06e85fc5f3171d06a,d5f75a0219345c11c6b41bb417d408674cda0cd132727ede742861abc435c265ba1dda774db5173f502675efdb1517f7d4f4eb825cd2bcd17b27ede814cd20a0
Battle Ace,Battle Ace,battleace,Japan,1989-11-30,Hudson,Hudson,#players:1 #genre:flightsim #pce:pcsg #lang:en,fc0053c0c050353b87886b1b89349168,edc8f7d2233c92ebd309ac804527c461851a4b63,41e06beeacfd05c837c9bb76da73c28d14dc2f66250a245b6931712f36c4e457,d9ea96741f6172c05d7d3c5295fac3ab78b69ab58ea48d61b7d846e21020e62e018fc11ce30f4b9dbb733769d8bbb2cc278c94708a631cf76d372df50592c4c9
Battle Lode Runner,Battle Lode Runner@Battle Lode Runner バトルロードランナー,battleloderunner,Japan,1993-02-10,Hudson,Hudson,#players:5:vs #genre:puzzle #addon:pcemultitap #lang:ja,52ac9b2e9f552558b8658cabae4639a3,0907d3a3503bd7dc2cae0d1b88c1f3f5be56fa22,523722e400c607428f5131f3c7d38f81721fed46d3e6acc24370e4a9a6ac610f,6748597a9c9b73ab7f82d41bac49816ce43e8894c28f4da2464883e675f8822b2d3a195e9681b1a18b94ac9cb5471563cd25f7affc2a18eb39f5e6a634ea8e16
Be Ball,Be Ball,beball,Japan,1990-03-30,Hudson,Hudson,#players:2:coop #genre:puzzle:maze #addon:pcemultitap:tennokoe #save:backup:password #lang:ja,5c6227a91d252a12bf2a0d3d5b5fe65d,55d8815a4a432e587fc7483b63b73114fe40e710,e16aacab6731e490ffd16f9893f52c6e1cc6c97ffe9950fce67c68283ef38a6a,8e16405d8745cea417ce911672473fd3c2817b1ea938db77e856040d2f743e4c769542047520ebe207c0a3c9052031a1de8df71e02ba0c61789e7648b5c43de8
Benkei Gaiden@弁慶 外伝,Benkei Gaiden@弁慶 外伝,benkeigaiden,Japan,1989-12-22,Sunsoft,Sunsoft,#players:1 #genre:rpg>j #addon:tennokoe #save:backup:password #lang:ja,fe54ee82279992cef3aeb14aa3f795d9,4bc46592f3707a7c3e514abc23e640e3194879ad,a909ab9d823d2d8d5e9b9c6f87a40eb93d18195c6b4229b936d44023a90137e6,3c078493207b18a773037b6fd8585dbb38c04b09877e37774f582ec93b53ea4fbd9e035a4459a6c35aebe51bc750ad61bfa5640d78f6c1fa91cda3a2d1885db6
