Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
3 Chōme no Tama: Tama and Friends: 3 Chōme Obake Panic!!@3丁目のタマ タマ＆フレンズ 3丁目おばけパニック!!,3 Chōme no Tama: Tama and Friends: 3 Chōme Obake Panic!!@3丁目のタマ タマ＆フレンズ 3丁目おばけパニック!!,3choumenotamatamaandfriends3cop,1994-08-05,Japan,B-AI,Bandai,#players:1 #genre:minigames #gb:mono #licensed $manganime #lang:ja,93cea7134db2a28b06d30729ad460dd6,0982bcc82deb9c4db08e602a22a2bb4f31e7e6ae,efb642a031e175a07be768e8146ded4841ca599fa69b985ffcb69b555dc17cb4,2ed3bdcf49dda123ace6281705c5120a5c56e95b2226ee2908d631c880bc5a67131689821c4d50833c8db66166c8e385429a25df75d45067817f16a45c825285 
4-in-1 Fun Pak,4-in-1 Fun Pak@4-in-1 Fun Pak フォー　イン　ワン　ファン　パック,4in1funpak,Japan,1992-12-22,Beam,Imagineer,#players:2:vs #genre:board>chess #multigame #addon:gamelinkcable #gb:mono #lang:en,f1724349b22aa4f3a3e6c30d97117040,f1cf115df0246f08d4e886cb046ebd2aa431a6c9,9e51c4dfd4ce7eca6715e60afc02ee6fab180530a1a80368b220cb671bb63a97,37e51df14cd669e25f4879a86c1ccfee6097b7221fdf1f3340187cef0a088f37d8f9acd0726e6fbfc0ac06402a30dc5d7184da7f43f4824ae8c9a45261f4a3d5
Aa Harimanada@ああ播磨灘,Aa Harimanada@ああ播磨灘,aaharimada,Japan,1993-07-23,Atelier Double,ASK Kodansha,#players:1 #genre:fighting:sports>sumo #gb:mono #licensed $manganime #lang:ja,437fec3b28d28314d580ec1e4d0bc9ae,ff3565fcac22b44bf542732d1b0b20ba96a6c961,1e6ac29d81ab688b195532c13ab6f95f4ddf58f010203cc5e53a6bd76418a716,e1587a55100e99a991eff5b9b2cd0c6fa58df5b0b116de4717f0d42aec699fdb054a8c101b1ee7607c3eaed882c578fc0f0ba1f07c70684b71bb3f5289687a67
Aero Star,Aerostar@エアロスター,aerostar,Japan,1991-06-28,Sigma Pro-Tech,Vic Tokai,#players:1 #genre:shmup>v #gb:mono #lang:en,4b4d6e6d4870d36a26e6fe6ad73b0eac,1088817172c10a9080ab6859da85a074569e2cba,9d7e009a90473b95b8a7ba69f7cc9769f95d4cc5de0bf15666ca2b0be44f8da3,aa1585bbf387594b75ec0a730d14833a3577f6ae60da8aab9055090afec0a866c559e6c9a07cafc4d918243453f6d93d77d38131fd2bd330d4d4d8d175b98e66
After Burst,After Burst@アフターバースト,afterburst,Japan,1990-10-26,Dual,NCS/Masaya,#players:1 #genre:action:platformer #gb:mono #lang:en,b5c541c765fd3a5767b3fa1cfc821587,459cb97524669b0de6cd7cfada61ad67339232f1,c7e2c34315b6186608a2fb9468bafe448def49824fe5ecb868fe6a316455ca69,01e399daeb174654108b304d46b4563998962834aab780d9668ba21d2c2d63280ec41757db0acb5a98ca7d9e6eb331566855d0def08f98ec98bf045f07de42e3
Aguri Suzuki F-1 Super Driving,Suzuki Aguri F-1 Super Driving@Aguri Suzuki F-1 Super Driving 鈴木亜久里のF-1スーパードライビング,f1superdriving,Japan,1993-05-28,Pixel,LOZC G. Amusements,#players:1 #genre:racing:sports>formula1 #save:password #gb:mono $celeb #lang:ja,adf6023f4bfc67cbbf09a42f0d0ce27a,98d0e39251413f2f3bf2f001c48ccf88f27190ba,6afd1ecd2c606b4916c54a7c4aaa991613f67f9a97ef92d11e102b8ecb6b859d,b009b629aadb3475d507438745045affaa5d2b110174830cbabdb20901a8bdbb35a4d5aec3fa2cbe2a37dea27a4fbe8ffb9d113c04535d35a22a02d0eb142f3e
Akazukin Chacha@赤ずきんチャチャ,Akazukin Chacha@赤ずきんチャチャ,akazukinchacha,Japan,1995-04-28,Access,Tomy,#players:1 #genre:rpg>j #gb:mono:sgb #licensed $manganime #lang:ja,9a5215658c60a1802b11f728c292b536,d07970a7eae51aef8c4e8b4bcdd57aeed6360bdd,e2f9f977a8deb8bf1fbdf9f977a76b8e5d907b8aa24e781606e33bec25354151,34f1af150e33901ceadbcb2a5f3c6fb73af96c426f8a10c54a14713ebec0ab02023b47d38c0bc4b8711c9f6e08ae5ae8350fcfd2b1d4f48e677f942c6ff3ca12
Akumajō Dracula: Shikkoku Taru Zensōkyoku@悪魔城ドラキュラ 漆黒たる前奏曲,Akumajō Dracula: Shikkoku Taru Zensōkyoku - Dark Night Prelude@悪魔城ドラキュラ 漆黒たる前奏曲 ダークナイトプレリュード,akumajoudraculastz,Japan,1997-11-27,KCEN,Konami,#players:1 #genre:action:platformer #gb:mono:sgb $castlevania $dracula #lang:ja,6761f77e6daa82120dd7c73adeec777e,baaa12be322adc005e51b43c73a352420d7cd034,8e45c7d6b5498d4048653e92b2a792bb2eea00b2897a7711fb7be1b6bed0534f,0c645f0efacb7608ef5c15205d118d1535739b18790e6b9d2f8cca8a5d733bf171e2a3ba8fdc3984b0161feacb449b0d63cafd8e89ea26418653c5682cd1d632
Akumajō Special: Boku Dracula-kun@悪魔城すぺしゃる ぼくドラキュラくん,Akumajō Special: Boku Dracula-kun@悪魔城すぺしゃる ぼくドラキュラくん,akumajoyspecialbokudraculakun,Japan,1993-01-03,Konami,Konami,#players:1 #genre:platformer #save:password #gb:mono $castlevania $dracula #lang:ja,63f593e38a526a10ff3fa5aec1c8ccb0,f2f15da8ed94bc8652c23965428f6d767e506e38,6a4f52d2860848faa055423be20daad9fb196f65ea96c2a77ed12468a994c327,eda2016ca3feea3b524577cc407796635bee363cf21570e74f55fe4af2adf39d772b60922c47b6dc9df62435a288fba0a4358b0c922b4184d5d3f5e5f68fd670
Alfred Chicken,Alfred Chicken@Alfred Chicken アルフレッドチキン,alfredchicken,Japan,1995-07-28,Twilight,Sunsoft,#players:1 #genre:platformer #gb:mono:sgb #lang:en,a95e6579f8d6048c5e150c41d180c782,e04ddf4df8b5ef70d85e0523d277abfc68c61496,7728277ddc0048755d6a9f5ee09e16e92060a93dbb3bdb26a4133264811527b3,e4eef9ef967b1628a6740faf3dc9e8cd4420117680b10fb8de5e198c718c957783dead4fb1a632039ac6c52969cacef025b67aeaa3ea9efbfc83a3e86fbfc98c
