Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Action Fighter,Action Fighter@アクション ファイター,actionfighter,Japan,1986-08-17,SEGA,SEGA,#players:1 #genre:runandgun #format:goldcartridge>1m #port:arcade #lang:en,7e08a9854d61fece23d3c4a39539f4e9,5dbcfb75958f4cfa1b61d9ea114bab67787b113e,f248feada2f107923f3a90b0f9e59e1faf27f4108fa67fb3c0c8a988bfea4a8f,270061faf5e0f6a1073074f6f9a01dc35ee20e4a711eb0fa821f2377da72ba9d7cf5a4ce92e1ff382a16d9a83610d6772a132ab1c46c0b4bfa185421ec709d2f
After Burner,After Burner,afteburner,Japan,1987-12-12,SEGA,SEGA,#players:1 #genre:railshooter #addon:fmsoundunit #format:goldcartridge>4m #port:arcade,6271c183513e0be0543e326419ee989e,51531df038783c84640a0cab93122e0b59e3b69a,90740cfeb430b95b7460d67ed42260bf9f50a89b24e0ad3724d645c47ef783eb,f8a5bab2a1c55ed4c43faa2c977aba1b6aeca92fafcde30ee94e405b0d99942f07b609a48892031b46555aee8986a5ee3c3b53c2508ef705ef8fef9ac37cc60e
Akai Kōdan Zillion@赤い光弾 ジリオン,Akai Kōdan Zillion@赤い光弾 ジリオン,akaikoudanzillion,Japan,1987-05-24,SEGA,SEGA,#players:1 #genre:platformer:adventure $manganime $zillion #format:goldcartridge>1m #lang:ja:en,8de18c864fc9379c27d7430c1f209eeb,6a0a21426cadadb5567907d9cc4cdaf63195d5c3,65d26d54b3eb57ac19598d839da9c2f01a9e72d860852cc01a0e7001a940222f,cdef554503b2b1fc6739d60fa2eb5b540af9a89ac08e45e198d96cdc4dc27491e14a435b890cfabd1eed4733908c9a139da8b2b1cf03822db219b58cce05e68a
Aleste,Aleste,aleste,Japan,1988-02-29,Compile,SEGA,#players:1 #genre:shmup #addon:fmsoundunit #format:goldcartridge>1m,810f65d7a7a8462c40c01bea3d5d7d01,cba75b0d54df3c9a8e399851a05c194c7a05fbfe,b1eaec7affd06b17c9d0ba5683ed63bdd1ba2b74dd4c5c99123bc6a48e7b67c3,2bd22887b5aeb123b0e53f3af279b769a0b3de3571a0108c8340e549ed2d7c26b0498e038adf40637a43e86e1b761df76793f53b1e83e19ec14439efca88fff7
Alex Kidd in Miracle World,Alex Kidd no Miracle World@アレックスキッドのミラクルワールド,alexkiddmw,Japan,1986-11-01,SEGA,SEGA,#players:1 #genre:platformer #format:goldcartridge>1m,6e8e702e1d8a893ee698b93f5807972a,62fdc25501e17b87c355378562c3b1966e5f9008,3bb4891f1192b9d7560ab8844acd31c8d15dcf228e4afd5a65bd96feace10dd1,b499f400afc9e10ec4294c05e9f12db85be712a5802af19cea188b3f4ed277c5d298d59d68fb5b8ca1e880a6eb00b7e7aeff948a496e7b2926c12c7280ce3b5c
Alex Kidd: The Lost Stars,Alex Kidd: The Lost Stars@アレックス キッド ザ ロストスターズ,alexkiddtls,Japan,1988-03-10,Whiteboard/SEGA,SEGA,#players:1 #genre:platformer #addon:fmsoundunit #format:goldcartridge>2m #port:arcade,ea50dcdd1241667f32d39d606a9f7083,6dbf2684c3dfea7442d0b40a9ff7c8b8fc9b1b98,4f1cdeea47962ef5fb5cceeb40670e4975fb655cd11d618c2e153b0d24be3fff,bef9ca9432ee7266d79bec9f6e516fec1f4f7c0fab190f25f8fce5316dc17b8df184e458e74c615797eb2261e790ac2c402e02cbcb8587b43c2d5e6bde7411e5
Alien Syndrome,Alien Syndrome@エイリアンシンドローム,aliensyndrome,Japan,1987-10-18,SEGA,SEGA,#players:2:alt #genre:runandgun #addon:fmsoundunit #format:goldcartridge>2m #port:arcade,c352bd773dc9cd909a8c1707ccb54d40,5d786476b275de34efb95f576dd556cf4b335a83,b87ef7a23c392ab4b046854ced6a48d1a7b2244f643214b759e305db793f480a,22da8d16ef4ba5aa096c4c8d468ab6bf923b5767b399ff7b256b33d38c2987c95d9baacc0e8616102d784c61f418d00c9f6927497958fed15f3da1870b33b03a
Anmitsu Hime@あんみつ姫,Anmitsu Hime@あんみつ姫,anmitsuhime,Japan,1987-07-19,SEGA,SEGA,#players:1 #genre:platformer:puzzle #format:goldcartridge>1m $manganime,c6e271132566b4dd03981dcf2f8a6477,74057d3b7f384c91871a2db2fbc86d3e700c45e5,85223f5bf69b14fd9f99d49ac6dcb8e3cebb29ab2ad0cfb0cf129204c2a6a101,5707a9d06226d6886545d4203484136a32124dcc58663997fdc4a1e3629838330b403553c7d8eb2ae33da39ee57d549c3e086216f5f7e60a959e2e38f5b1f4d4
Argos no Jūjiken@アルゴスの十字剣,Argos no Jūjiken@アルゴスの十字剣,argosnojuujiken,1988-03-25,Japan,Salio/Tecmo,SEGA,#players:2:alt #genre:platformer #addon:fmsoundunit #format:silvercartridge #port:arcade,8e8b04b5a9fe7b6cdb25b6550e7a831e,a4b63ed417380f8170091e66c0417123799a731f,213750b6e5821e2422dc9849c99b45e68a3c39b6d710ff8d0ab6754cda404b97,cc784381b26650fe91fe6cc62311a9f4bbdf332adb6095d3cb3edc3abaa21f327248a959d7b06aa99671c505aefae02f159b04cb27ab72a7e9f6429a887e5e5e
Ashura@阿修羅,Ashura@阿修羅,ashura,Japan,1986-11-16,SEGA,SEGA,#players:2:coop #genre:runandgun #format:goldcartridge>1m,e5693a4806de29ea9b1e1b5fea1a9566,e9f90d63320295e4bd9a87e6078186c5efb7e84e,e16820dfd23f18d4dbb794596ac6c6fa46edb883ceb827f2a244ae41388b665e,9105a881c14d8fc2cf89fa94131b9a4f893b3e0340c779462548c678e34d6c4d0fadc79f81cd3faea46cd2828dbcb07cfac1fe0ca35cbdfc1536abd16ff0d360
