Screen title,Screen title (exact),Flyer title,Flyer title (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
1941: Counter Attack,=,1941: Counter Attack,=,1941,Japan,1990-02,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #search:tate>ccw #players:2:coop #genre:shmup>v #arcadeboard:capcom>cps #mamerom:1941>1941j,3c0808d3e472efc3c8e3bb28691fd5f9,36f70b198e01157b9a68b9f30d13432736930ce0,8e562cacceea51597e1e05eb5af4abdd75c880ce1b171b0f61180b673d2f52cc,350cd7f569b4cc734fb6371f92449e89b3830f946376abdbac74a61eb38368e7366fe3b0d9d01a5dcefeb6e10d0b8acce9f1d67f7a1a57b321b20ab12623d02e
1941: Counter Attack,=,1941: Counter Attack,=,1941,USA,1990-02-27,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #search:tate>ccw #players:2:coop #genre:shmup>v #arcadeboard:capcom>cps #mamerom:1941>1941u,3c0808d3e472efc3c8e3bb28691fd5f9,36f70b198e01157b9a68b9f30d13432736930ce0,8e562cacceea51597e1e05eb5af4abdd75c880ce1b171b0f61180b673d2f52cc,350cd7f569b4cc734fb6371f92449e89b3830f946376abdbac74a61eb38368e7366fe3b0d9d01a5dcefeb6e10d0b8acce9f1d67f7a1a57b321b20ab12623d02e
1941: Counter Attack,=,1941: Counter Attack,=,1941,World,1990-02,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #search:tate>ccw #players:2:coop #genre:shmup>v #arcadeboard:capcom>cps #mamerom:1941>1941r1,3c0808d3e472efc3c8e3bb28691fd5f9,36f70b198e01157b9a68b9f30d13432736930ce0,8e562cacceea51597e1e05eb5af4abdd75c880ce1b171b0f61180b673d2f52cc,350cd7f569b4cc734fb6371f92449e89b3830f946376abdbac74a61eb38368e7366fe3b0d9d01a5dcefeb6e10d0b8acce9f1d67f7a1a57b321b20ab12623d02e
1941: Counter Attack,=,1941: Counter Attack,=,1941,World,1990-02-27,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #search:tate>ccw #players:2:coop #genre:shmup>v #arcadeboard:capcom>cps #mameparent #mamerom:1941,3c0808d3e472efc3c8e3bb28691fd5f9,36f70b198e01157b9a68b9f30d13432736930ce0,8e562cacceea51597e1e05eb5af4abdd75c880ce1b171b0f61180b673d2f52cc,350cd7f569b4cc734fb6371f92449e89b3830f946376abdbac74a61eb38368e7366fe3b0d9d01a5dcefeb6e10d0b8acce9f1d67f7a1a57b321b20ab12623d02e
1942,=,1942,=,1942,World,1984,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #mamerom:1942>1942b,d3cc2427a1ccb6f221e3371712ad18ff,39222593ff0654703b4df44fb29c6ea660f32dde,b1755efa5b3db4ee220519fa05b0b450fdaa14b35cc2533d642751ec40474fba,ffe8adb5e261cf80397c8652ca13e5e4fd55e93bdb948084b6b3baec04007f39244021a137c7f226fffc6e8b8d07041d3fec8b8b91afe50e6ed7b3dfa96b27b5
1942,=,1942,=,1942,World,1984,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #rev:a #mamerom:1942>1942a,d3cc2427a1ccb6f221e3371712ad18ff,39222593ff0654703b4df44fb29c6ea660f32dde,b1755efa5b3db4ee220519fa05b0b450fdaa14b35cc2533d642751ec40474fba,ffe8adb5e261cf80397c8652ca13e5e4fd55e93bdb948084b6b3baec04007f39244021a137c7f226fffc6e8b8d07041d3fec8b8b91afe50e6ed7b3dfa96b27b5
1942,=,1942,=,1942,World,1984,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #mameparent #rev:b #mamerom:1942,d3cc2427a1ccb6f221e3371712ad18ff,39222593ff0654703b4df44fb29c6ea660f32dde,b1755efa5b3db4ee220519fa05b0b450fdaa14b35cc2533d642751ec40474fba,ffe8adb5e261cf80397c8652ca13e5e4fd55e93bdb948084b6b3baec04007f39244021a137c7f226fffc6e8b8d07041d3fec8b8b91afe50e6ed7b3dfa96b27b5
1942,=,1942,=,1942,World,1984,CAPCOM/Williams,CAPCOM,#input:joystick>8:buttons>2 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #mamerom:1942>1942w,d3cc2427a1ccb6f221e3371712ad18ff,39222593ff0654703b4df44fb29c6ea660f32dde,b1755efa5b3db4ee220519fa05b0b450fdaa14b35cc2533d642751ec40474fba,ffe8adb5e261cf80397c8652ca13e5e4fd55e93bdb948084b6b3baec04007f39244021a137c7f226fffc6e8b8d07041d3fec8b8b91afe50e6ed7b3dfa96b27b5
Supercharger 1942,=,Supercharger 1942,=,1942,World,1991,CAPCOM/Two Bit Score,CAPCOM,#input:joystick>8:buttons>2 #players:2:coop #search:tate>ccw #genre:shmup>v #arcadeboard:capcom #unlicensed:hack #mamerom:1942>1942h,d3cc2427a1ccb6f221e3371712ad18ff,39222593ff0654703b4df44fb29c6ea660f32dde,b1755efa5b3db4ee220519fa05b0b450fdaa14b35cc2533d642751ec40474fba,ffe8adb5e261cf80397c8652ca13e5e4fd55e93bdb948084b6b3baec04007f39244021a137c7f226fffc6e8b8d07041d3fec8b8b91afe50e6ed7b3dfa96b27b5
1943: Midway Kaisen,1943 ミッドウェイ海戦,1943: Midway Kaisen,1943 ミッドウェイ海戦,1943,Japan,1987,CAPCOM,CAPCOM,#input:joystick>8:buttons>3 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:capcom #mamerom:1943>1943ja,c420fa612d630bdffd806883193454a9,1f5fd08c18b882d2978539756543c7660c82c14e,e44b89e80bf8bccc4f16476d7254d959d937a1668d27ec564d57103ac94fba6f,551edbc03269d24e61afb570622fc68d2d331fb60c86505316d0efeb7acb35dd11e1eece649f84ff2d5891dcd3977b35df700f20ff857def047e30ce7aef1c2c
