Game title,Original character set,ID,Region,Release date,Developer,Tags,MAME filename,MD5,SHA1,SHA256,SHA512
Adventure Quiz: CAPCOM World 2,,capcomworld2,Japan,1994,CAPCOM,#2P #0W #4B #vs #quiz #cps:cpschanger,,,,,
Captain Commando,,captaincommando,Japan,1995,CAPCOM,#2P #8W #2B #coop #brawler #cps:cpschanger,,,,,
Final Fight,,finalfight,Japan,1994,CAPCOM,#2P #8W #2B #coop #brawler #cps:cpschanger,,,,,
Knights of the Round,,knightsoftheround,Japan,1995,CAPCOM,#3P #8W #2B #coop #brawler #cps:cpschanger,,,,,
Muscle Bomber: The Body Explosion,,musclebomber,Japan,1994,CAPCOM,#4P #8W #3B #vs #fighting #sports:wrestling #cps:cpschanger,,,,,
Muscle Bomber Duo: Heat Up Warriors,,musclebomberduo,Japan,1995,CAPCOM,#4P #8W #3B #vs #fighting #sports:wrestling #cps:cpschanger,,,,,
Street Fighter Zero,,streetfighterzero,Japan,1995-10-20,CAPCOM,#2P #8W #6B #vs #fighting #cps:cpschanger,sfzch.zip,af3833ae7802cad622492dca272f2406,3ae7d8ec42ff751fb4a31b93c47e4716a3e32415,d33392672d2a7c76cf2e8fdec1e59cd0783d2c89ca03bfaf5a1debf8aeaebe6c,3b6610c1a613bacfdedd0c25297deee5111c92485b4ae9d49c4d3f016832003267308d43c4101e058e3975b888a07d2da7577018425329d3ed6f5a4170b99251
Street Fighter Zero,,streetfighterzero,Brazil,1995-07-27,CAPCOM,#2P #8W #6B #vs #fighting #cps:cpschanger,sfzbch.zip|sfzch.zip,af3833ae7802cad622492dca272f2406,3ae7d8ec42ff751fb4a31b93c47e4716a3e32415,d33392672d2a7c76cf2e8fdec1e59cd0783d2c89ca03bfaf5a1debf8aeaebe6c,3b6610c1a613bacfdedd0c25297deee5111c92485b4ae9d49c4d3f016832003267308d43c4101e058e3975b888a07d2da7577018425329d3ed6f5a4170b99251
Street Fighter II': Champion Edition,,streetfighter2dashce,Japan,1994,CAPCOM,#2P #8W #6B #vs #fighting #cps:cpschanger,,,,,
Street Fighter II' Turbo: Hyper Fighting,,streetfighter2dashturbohf,Japan,1994,CAPCOM,#2P #8W #6B #vs #fighting #cps:cpschanger,,,,,
Tenchi wo Kurau II: Sekiheki no Tatakai,天地を喰らうII 赤壁の戦い,tenchiwokurau2,Japan,1994,CAPCOM,#3P #8W #2B #coop #brawler #licence #cps:cpschanger,wofch.zip,3ab98920803253f6b69a1426f84f6e91,27fcb6a6e63b5c7f015d0f931ec70b8b6fbf5498,0302a903b5142e6c5fda5769920759adfeb4790b56950a5b3ea22560f66027be,32417618140fe6c220057977ae772692ff434d356ab2c919730854857b81080f517fce81ccb33d903ee060711351b39dc4b8c5b975a922154f763c1c5f00bf16
The King of Dragons,,thekingofdragons,Japan,1995,CAPCOM,#3P #8W #2B #coop #brawler #cps:cpschanger,,,,,
