Title,Title (exact),Title screen,Title screen (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
600,=,600,=,600,Japan,1981-11,Konami,Konami,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #lang:en #mamerom:turtles>600,2f766c406e957f9043343e886dda33fd,f6fe7c952d6e1053601293ea9607b43c2c208bce,58ddeeb8195e91cf7f0116002a36cff7a22b2a6fcebee142ae0bd436a11ef9f1,e6618cde07a15ccaee429ef4bbb7e299d0a6ba3032f579fd701f905fd087c9d49c27b73dca4c083b4a75823b3e9821c1f99d258ec1921cd58a26b1a881ad46e3
Turtles,=,Turtles,=,600,USA,1981-12,Konami,Stern,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #lang:en #mameparent #mamerom:turtles,2f766c406e957f9043343e886dda33fd,f6fe7c952d6e1053601293ea9607b43c2c208bce,58ddeeb8195e91cf7f0116002a36cff7a22b2a6fcebee142ae0bd436a11ef9f1,e6618cde07a15ccaee429ef4bbb7e299d0a6ba3032f579fd701f905fd087c9d49c27b73dca4c083b4a75823b3e9821c1f99d258ec1921cd58a26b1a881ad46e3
Turpin,Turpin セガ・ターピン,Turpin,=,600,Japan,1981-11,Konami,SEGA,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #lang:en #mamerom:turtles>turpin,2f766c406e957f9043343e886dda33fd,f6fe7c952d6e1053601293ea9607b43c2c208bce,58ddeeb8195e91cf7f0116002a36cff7a22b2a6fcebee142ae0bd436a11ef9f1,e6618cde07a15ccaee429ef4bbb7e299d0a6ba3032f579fd701f905fd087c9d49c27b73dca4c083b4a75823b3e9821c1f99d258ec1921cd58a26b1a881ad46e3
Turpin,=,Turpin,=,600,,1981,Konami,,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #lang:en #unlicensed:bootleg #mamerom:turtles>turpins,2f766c406e957f9043343e886dda33fd,f6fe7c952d6e1053601293ea9607b43c2c208bce,58ddeeb8195e91cf7f0116002a36cff7a22b2a6fcebee142ae0bd436a11ef9f1,e6618cde07a15ccaee429ef4bbb7e299d0a6ba3032f579fd701f905fd087c9d49c27b73dca4c083b4a75823b3e9821c1f99d258ec1921cd58a26b1a881ad46e3
Turpin,=,Turpin,=,600,Spain,1982,Konami,Novatronic,#input:joystick>4:buttons>1 #players:2:alt #genre:action>maze #arcadeboard:namco #search:tate>cw #lang:en #unlicensed:bootleg #mamerom:turtles>turpinnv,2f766c406e957f9043343e886dda33fd,f6fe7c952d6e1053601293ea9607b43c2c208bce,58ddeeb8195e91cf7f0116002a36cff7a22b2a6fcebee142ae0bd436a11ef9f1,e6618cde07a15ccaee429ef4bbb7e299d0a6ba3032f579fd701f905fd087c9d49c27b73dca4c083b4a75823b3e9821c1f99d258ec1921cd58a26b1a881ad46e3
A-Jax,A-Jax エー・ジャックス,A-Jax,A-Jax エージャックス,ajax,Japan,1987-12-16,Konami,Konami,#input:joystick>8:buttons>3 #players:2:alt #genre:shmup>v:shooting>rail #arcadeboard>konami #search:tate>cw #lang:en #mamerom:ajax>ajaxj,75c45deb49358f274a1393a1a2c47dd0,3d314a37055a157d2b4c7918db6ab50e9a353128,125cf2d5b59dc871b6437c5c183009030530ab21b2f88beb2759324d55944a3b,51ef1723d7b8066c562d410e8d8a1d532e224af39b05696dbf7d751977a30b9ddee13ab918b1c9a1c67fda7affd8854bcc76f6f3ad84a85ff0e555a2bdde2117
A-Jax,=,A-Jax,A-Jax エージャックス,ajax,USA,1987-12,Konami,Konami,#input:joystick>8:buttons>3 #players:2:alt #genre:shmup>v:shooting>rail #arcadeboard>konami #search:tate>cw #lang:en #mameparent #mamerom:ajax,75c45deb49358f274a1393a1a2c47dd0,3d314a37055a157d2b4c7918db6ab50e9a353128,125cf2d5b59dc871b6437c5c183009030530ab21b2f88beb2759324d55944a3b,51ef1723d7b8066c562d410e8d8a1d532e224af39b05696dbf7d751977a30b9ddee13ab918b1c9a1c67fda7affd8854bcc76f6f3ad84a85ff0e555a2bdde2117
Typhoon,=,Typhoon,=,ajax,USA/Europe,1987-12,Konami,Konami,#input:joystick>8:buttons>3 #players:2:alt #genre:shmup>v:shooting>rail #arcadeboard>konami #search:tate>cw #lang:en #mamerom:ajax>typhoon,75c45deb49358f274a1393a1a2c47dd0,3d314a37055a157d2b4c7918db6ab50e9a353128,125cf2d5b59dc871b6437c5c183009030530ab21b2f88beb2759324d55944a3b,51ef1723d7b8066c562d410e8d8a1d532e224af39b05696dbf7d751977a30b9ddee13ab918b1c9a1c67fda7affd8854bcc76f6f3ad84a85ff0e555a2bdde2117
Akumajō Dracula,悪魔城ドラキュラ,Akumajō Dracula,悪魔城ドラキュラ,akumajoudraculaac,Japan,1988-02-22,Konami,Konami,#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:konami #search:franchise>castlevania:feature>dracula #set:1 #lang:en #mamerom:hcastle>akumajoun,bac9a8c3e9dbb5360ec41d925f301330,5e8115eba71f7686f8c9b483be7f4d7692435633,514dcd35f91981c9e7dca6196c5310e5a33bad39c6ff8b4118ac63246646fa7e,2a12afeecf48ecfb9cab8242f037a437cf89d53bf42ebfa115e381398a7b4c26875ab70845e6d5703cdd35b30146088045aa3ed60dae3045fb5be8887adc942a
Akumajō Dracula,悪魔城ドラキュラ,Akumajō Dracula,悪魔城ドラキュラ,akumajoudraculaac,Japan,1988-02,Konami,Konami,#input:joystick>8:buttons>2 #players:2:alt #genre:action>hackandslash>platformer #arcadeboard:konami #search:franchise>castlevania:feature>dracula #set:2 #lang:en #mamerom:hcastle>akumajou,bac9a8c3e9dbb5360ec41d925f301330,5e8115eba71f7686f8c9b483be7f4d7692435633,514dcd35f91981c9e7dca6196c5310e5a33bad39c6ff8b4118ac63246646fa7e,2a12afeecf48ecfb9cab8242f037a437cf89d53bf42ebfa115e381398a7b4c26875ab70845e6d5703cdd35b30146088045aa3ed60dae3045fb5be8887adc942a
