Screen title,Screen title (exact),Flyer title,Flyer title (exact),ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
1942,=,1942,=,1942,USA,1987,CAPCOM,CAPCOM,#input:joystick>8:buttons>2 #players:2:alt #genre:shmup>v #arcadeboard:nintendo>pc10 #port:nintendo>famicom #lang:en #mameparent #mamerom:pc_1942,75ac74f775e79b7583239410b5bdc859,50c026b0a7aae1f0e3ee7a885c6ffbc63d81a9ce,ac425fd5871848c06d1883be48ab41bfed9b63ba1cb0a6cfd312efba6bcbc102,901f99bf2953613f9382aa8f0b59f5f14788ddddaecacdfb3346dfc9b739dd933197d88ee632ebd114a17dba7a935244f706db8bb9c7153e85c8b5be803ecbe0
ActRaiser,=,ActRaiser,=,actraiser,USA,1992,Quintet,Enix,#input:joystick>8:buttons>6 #players:1 #genre:action>platformer #arcadeboard:nintendo>nss #port:nintendo>superfamicom #lang:en #mameparent #mamerom:nss_actr,916e31a11b2c3696c640372c01d5ae00,78e4e87020c825199c489f3ffbe0664dc558e6b0,dad52d2cf84e4a5ddbfe8079ae6c7c69eb470a08969c375d63ae5348962f7a69,11941f7841307d3e0694af2c6b8bce618d853c37fd6ccbf4ed7896dc748399b06883246b716a506a66776061b3d1ce1b1923f0498b5bfa7c630dafea5ac10b63
Arm Wrestling,=,Arm Wrestling,=,armwrestling,USA,1985-05,Nintendo,Nintendo,#input:joystick>3:buttons>2 #players:1 #genre:action:sports>wrestling #arcadeboard:nintendo #lang:en #mameparent #mamerom:armwrest,9c823f6ab6fc9ce4279a80c956686a70,5434308902c8f43b6aa34a93b785303a0df4458c,c1536deb95507d5184a359b549ac4df396c8b172db208ef8e8a6e8ca562dd18a,bd854c22fb419db58a3d6804d3bcd1c12279e0166c4060900de5d0de61af1dc181f6acf7750392fcaf8244497693847415059d1c57c4929db7e784a532aa86fe
Balloon Fight,=,Balloon Fight,=,balloonfight,World,1986,Nintendo/HAL Laboratory,Nintendo,#input:joystick>8:buttons>2 #players:2:coop #genre:action #arcadeboard:nintendo>pc10 #lang:en #mameparent #mamerom:pc_bfght,389cb4091b823dcfcb32fc1729ef4d58,e334214a8bee61eae82ac7a48d4c55201660a358,43b04c8809075ef363c19ffff718460c0c331d8a0bc5b52423f40336afa84d7a,a8f8772e310e359cc03a135ac2f5637c409baeebd587869d04ed956f852befdc8f03d2bf0f6e99fef6132565b8595662c6344ef43c98ea1157e4fffc6cc0ec43
Baseball,=,Baseball,=,baseball,USA,1986,Nintendo,Nintendo,#input:joystick>8:buttons>2 #players:2:vs #genre:sports>baseball #arcadeboard:nintendo>pc10 #port:nintendo>famicom #lang:en #mameparent #mamerom:pc_bball,256d106e4168fa5c3018802356715539,7827c452421e1e94fe12285fc18eef1ab9a5c6bb,85e2e3f850b703b5d73651e1fa2e992879eb10229c967721588737b360b73bed,70ce20b569c560c1c02be9d0fe77692cf00df7251a2241a26f1c82cc614be8c4586c584073d11afa9512db9f6c2769ea8623b29dc549159ca21e5e421b52b5fd
Baseball Stars,=,Baseball Stars,=,baseballstarmezasesankanou,USA,1989,SNK,Nintendo,#input:joystick>8:buttons>2 #players:2:vs #genre:sports>baseball #arcadeboard:nintendo>pc10 #port:arcade:nintendo>famicom #lang:en #mameparent #mamerom:pc_bstar,af328af9bdbc6ec9d0a8109ab7bc6cdb,74ec57ed3bc4fb0fa392bc8f408320e594d50bef,0780e27587bd6ae96b80738d3842d6b9e44997d611827b54e009b0213702f401,ddbe1adc0c92b3005d2568b7076d17cd8069bc27b56a09f7c12a20ff322a65dbc51dc62d37d69233d51519dbb979e3067169fd7e1ae1748c43669a159bd4b2d4
Bases Loaded,=,Bases Loaded,=,moeroproyakyuu,USA,1990,TOSE,Jaleco,#input:joystick>8:buttons>2 #players:2:vs #genre:sports>baseball #arcadeboard:nintendo>pc10 #port:nintendo>famicom #lang:en #unfinished:proto #mameparent #mamerom:pc_bload,8e6fde232b9921e1a5fe32ff2dcd8a29,50ca99557b79698bc551310523818669dfc1aeb2,96bd380235c9f0df3025215209cc33bfe5e2ac8ab27dfe7fb3e4773637d1fb8b,cee097f50499e7535f397c47f36b5901a3e0d164094f5d0a665bd5086a58c852389586b155cd96d3b7b2b860d4c63c8d346c5d893ec7413e6d3b3fdd25e48725
Battle City,=,VS. Battle City,=,battlecity,Japan,1985-10,Open-Reach,NAMCO,#input:joystick>8:buttons>2 #players:2:vs #genre:action>maze:shmup #arcadeboard:nintendo>vssystem #lang:en #mameparent #mamerom:btlecity,81f2b85e989425cc343cd24182c56321,b381c5a7e5b345943ead025927f3e462c414c049,23c94c2d564cc65f7dc07ef3d53618685a2862bd1f94896c1e4a83679173432d,7b5ae5b71d1299b2260bcaa1423562046c84efb169825cd3140772d58818a51d419b754a83726f023e73da41037d9cfb2d15ee32c4829e4d04730dce8f135449
(Block Fever),=,Block Fever,Block Fever ブロックフィーバー,blockfever,Japan,1978,Nintendo,Nintendo,#input:paddle:buttons>1 #players:2:alt #genre:action>blockbreaker #arcadeboard:nintendo #search:tate>cw #lang:en #mameparent #mamerom:blockfvr,2526f61b4f0851903a5cc8a4a6c81803,0fed9f586c7c85fd4221dd0f8351b4929fc81a06,fee45d91c6a2bc45ba8e11edbaeec469c359c1e4843c72f910a1a1ae41da64fb,2309e34f2de4d0fd0fe4508993cffda8fd936bf81214ce4ca5035ba2f26201edad152a31326e58c5f1099f89eae1e606992ff1b1dcdd1341764996da9e465ccc
Captain Sky Hawk,=,Captain SkyHawk,=,captainskyhawk,USA,1989,Rare,Nintendo,#input:joystick>8:buttons>2 #players:1 #genre:shmup>v:shooting>rail #arcadeboard:nintendo>pc10 #lang:en #mameparent #mamerom:pc_cshwk,c46c377e31c51149c7a226956b9a0331,7d57621146fcf126a37bcc816f22b6f8b2b1bc3a,197b6a8977fa383e120b3918bbcc187bcda4bf19d8330b288c30468595a93eac,e01835f3b511a253600c75c7629ae8d0a7de903a65fd3c05695f36c518cee1705657468156bc5efe7d362e0e3e83eaa0664b4cf76b0c0d8d208dfd7b9ff296fd
