Screen title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MAME filename,MD5,SHA1,SHA256,SHA512
4-D Warriors,4dwarriors,World,1985-12,Coreland,SEGA,#input:joystick>4:buttons>2 #players:2:alt #genre:shmup>h #arcadeboard:sega>system1 #mameparent,4dwarrio.zip,f6026387472771f53a35d350b4ef9d31,136232868bd1e6640c6d04e889e36214dc5cb149,17a688ef3ab52bf402b72d9a34296ed6c3acef0d036095d5afae906eac594d5d,d0f452d7d300467b9f83f04cfe7bf10e4fd0d3ae183dd86a276ddaa750fc5daeee22c46f834ce905ddf2260e211ba2cde59e3ab24124a889851a60b32ce456ed
A.B. Cop@A.B. Cop - Air Bike Cop,abcop,Japan,1991-01,SEGA/Aicom,SEGA,#input:paddle:pedals>1 #players:1 #genre:racing>combat #arcadeboard:sega>xboard,abcopj.zip|abcop.zip,ec098294f4054103caf7090a4e308c1f,e8c12fccba1153a3fd2ca09992748f4459c52475,4abd00a617a71110eb0eb83a7e2b293f8ee3beaea0400d697eada54f737fd7f4,a126fae2eaa346b88e866d0ba548dab6f7b62793433684002477be40fbef4b4a71d50348b7803e09fb15cd93553fcae8b91a2bf4bfa5dfa17b902ca73c2f7036
A.B. Cop@A.B. Cop - Air Bike Cop,abcop,World,1991,SEGA/Aicom,SEGA,#input:paddle:pedals>1 #players:1 #genre:racing>combat #arcadeboard:sega>xboard #mameparent,abcop.zip,ec098294f4054103caf7090a4e308c1f,e8c12fccba1153a3fd2ca09992748f4459c52475,4abd00a617a71110eb0eb83a7e2b293f8ee3beaea0400d697eada54f737fd7f4,a126fae2eaa346b88e866d0ba548dab6f7b62793433684002477be40fbef4b4a71d50348b7803e09fb15cd93553fcae8b91a2bf4bfa5dfa17b902ca73c2f7036
Ace Attacker,aceattacker,Japan,1988-04,SEGA,SEGA,#input:trackball:stick:buttons>1:pedals>1:positional>2 #players:2:vs #search:tate>ccw #genre:sports>volleyball #arcadeboard:sega>system16a,aceattaca.zip|aceattac.zip,83bc0fcf1ee56493a1cdeb0946748a2d,9a6d50d6eeaa7770d8da2320c1121b55c06733bd,a4776364c7e1a9ad07696d74b3fe520db13e71593d05c456823bbebe0f8b320a,21e9c1c9df19dce9e00a1bdb653a0f027e79a19254b96d9411a39c26c1674136122136d1a0f08b514abb2c8aa50dd916d403d9dd6ea87bda597bda1373cdbd8e
Ace Attacker,aceattacker,World,1988,SEGA,SEGA,#input:trackball:stick:buttons>1:pedals>1:positional>2 #players:2:vs #search:tate>ccw #genre:sports>volleyball #arcadeboard:sega>system16a #mameparent,aceattac.zip,83bc0fcf1ee56493a1cdeb0946748a2d,9a6d50d6eeaa7770d8da2320c1121b55c06733bd,a4776364c7e1a9ad07696d74b3fe520db13e71593d05c456823bbebe0f8b320a,21e9c1c9df19dce9e00a1bdb653a0f027e79a19254b96d9411a39c26c1674136122136d1a0f08b514abb2c8aa50dd916d403d9dd6ea87bda597bda1373cdbd8e
Action Fighter,actionfighter,World,1986,SEGA,SEGA,#input:joystick>8:buttons>2 #players:2:alt #search:tate>ccw #genre:action>runandgun:shmup>v #arcadeboard:sega>system16a #mameparent,afighter.zip,cba1aae745662bf98a8390b683d96dbd,08943f03f3109db77932319d11b475827f61506e,1b5d561bcde2c59706ecffe198d3e8277b023710316e048797f15693dccea381,ba6d9e906f2773ffad7443268d938a09388e01a778c7afdb36cc1e23872a671c80d144f7fdf167d743e885bc5d7a55c01185f43fcc7459a62b4f0f87706e7b59
Action Fighter,actionfighter,World,1986,SEGA,SEGA,#input:joystick>8:buttons>2 #players:2:alt #search:tate>ccw #genre:action>runandgun:shmup>v #arcadeboard:sega>system16a,afightera.zip|afighter.zip,cba1aae745662bf98a8390b683d96dbd,08943f03f3109db77932319d11b475827f61506e,1b5d561bcde2c59706ecffe198d3e8277b023710316e048797f15693dccea381,ba6d9e906f2773ffad7443268d938a09388e01a778c7afdb36cc1e23872a671c80d144f7fdf167d743e885bc5d7a55c01185f43fcc7459a62b4f0f87706e7b59
Action Fighter,actionfighter,World,1986,SEGA,SEGA,#input:joystick>8:buttons>2 #players:2:alt #search:tate>ccw #genre:action>runandgun:shmup>v #arcadeboard:sega>system16a,afighterc.zip|afighter.zip,cba1aae745662bf98a8390b683d96dbd,08943f03f3109db77932319d11b475827f61506e,1b5d561bcde2c59706ecffe198d3e8277b023710316e048797f15693dccea381,ba6d9e906f2773ffad7443268d938a09388e01a778c7afdb36cc1e23872a671c80d144f7fdf167d743e885bc5d7a55c01185f43fcc7459a62b4f0f87706e7b59
Action Fighter,actionfighter,World,1986,SEGA,SEGA,#input:paddle:buttons>4:pedals #players:2:alt #search:tate>ccw #genre:action>runandgun:shmup>v #arcadeboard:sega>system16a,afighterb.zip|afighter.zip,cba1aae745662bf98a8390b683d96dbd,08943f03f3109db77932319d11b475827f61506e,1b5d561bcde2c59706ecffe198d3e8277b023710316e048797f15693dccea381,ba6d9e906f2773ffad7443268d938a09388e01a778c7afdb36cc1e23872a671c80d144f7fdf167d743e885bc5d7a55c01185f43fcc7459a62b4f0f87706e7b59
Action Fighter,actionfighter,World,1986,SEGA,SEGA,#input:paddle:buttons>4:pedals #players:2:alt #search:tate>ccw #genre:action>runandgun:shmup>v #arcadeboard:sega>system16a,afighterd.zip|afighter.zip,cba1aae745662bf98a8390b683d96dbd,08943f03f3109db77932319d11b475827f61506e,1b5d561bcde2c59706ecffe198d3e8277b023710316e048797f15693dccea381,ba6d9e906f2773ffad7443268d938a09388e01a778c7afdb36cc1e23872a671c80d144f7fdf167d743e885bc5d7a55c01185f43fcc7459a62b4f0f87706e7b59
