Screen title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MAME filename,MD5,SHA1,SHA256,SHA512
Andro Dunos,androdunos,World,1992-06-15,Visco,SNK/Visco,#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>h #arcadeboard:snk>mvs #lang:ja:en #mameparent,androdun.zip,6fc148cf334de80f3d6f792a49b072ff,0c7ad2c4186634258885898ff25f00ec768188d5,eb09082d280bb0664c601e8f6ad2ad55594c44106ee237c00a00c4cf76c98bf1,fd4ea7519a92977581f3a68a89c20bedca8b0752f9c8a7c3e8c2a416ee47145ce59d42e4924aa15427fb514199ba946010c97b97ed0b36a392c84528e6ba8742
Ashita no Joe Densetsu / Legend of Success Joe@あしたのジョー伝説 Legend / Legend of Success Joe,ashitanojoedensetsu,World,1991-07,Wave,SNK/Wave,#input:joystick>8:buttons>2 #players:1 #genre:brawler:fighting:sports>boxing #based:manganime #arcadeboard:snk>mvs #lang:ja:en #mameparent,legendos.zip,5ddf500a390fbe5cfb1c685fdcf72992,bd9823e39df85fccec9026f225778f0b3f2aaed9,ca5bfcf0616e5f74279cb706e7b75a31906542a4c7a3e6d520f3ef22a030007d,680d4613b5fb2a9637acb8f986c7eecddd3d9e56adcdac07014c95279f970fbcc2bf361965771961c4aea8c4cbdc0740eb653ab45a960b7c3b5e1f6f6320ccc5
ASO: Armored・Scrum・Object,asoarmoredscrumobject,Japan,1985-11,SNK,NAMCO,#input:joystick>8:buttons>3 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:snk #lang:en #mameparent,aso.zip,e092e31cc5bc6403aa6ed3e9310af4fb,10ace633fe9064f3a318624ed113a7210e6ca8f8,54fe38cf1390808c40e2a42d2fe1be27659af6f43e861f9b8cb22121b0f46ec9,a8a566faa75196aacbf27ddc59b198dd155e4bf57736f90a734cf9ebf322c2bb29702c2d6b7314f828060b7e84f4b16b9d41cdff658a2d32728987cc2ebcc349
Alpha Mission,asoarmoredscrumobject,World,1985-12,SNK,Tradewest,#input:joystick>8:buttons>3 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:snk #lang:en,alphamis.zip|aso.zip,e092e31cc5bc6403aa6ed3e9310af4fb,10ace633fe9064f3a318624ed113a7210e6ca8f8,54fe38cf1390808c40e2a42d2fe1be27659af6f43e861f9b8cb22121b0f46ec9,a8a566faa75196aacbf27ddc59b198dd155e4bf57736f90a734cf9ebf322c2bb29702c2d6b7314f828060b7e84f4b16b9d41cdff658a2d32728987cc2ebcc349
Arian Mission,asoarmoredscrumobject,World,1985,SNK,Tradewest,#input:joystick>8:buttons>3 #players:2:coop #search:tate>cw #genre:shmup>v #arcadeboard:snk #lang:en,arian.zip|aso.zip,e092e31cc5bc6403aa6ed3e9310af4fb,10ace633fe9064f3a318624ed113a7210e6ca8f8,54fe38cf1390808c40e2a42d2fe1be27659af6f43e861f9b8cb22121b0f46ec9,a8a566faa75196aacbf27ddc59b198dd155e4bf57736f90a734cf9ebf322c2bb29702c2d6b7314f828060b7e84f4b16b9d41cdff658a2d32728987cc2ebcc349
ASO II: Last Guardian / Alpha Mission II,aso2lastguardian,World,1991-03-25,SNK,SNK,#input:joystick>8:buttons>3 #players:2:coop #genre:shmup>v #arcadeboard:snk>mvs #lang:ja:en #mameparent,alpham2.zip,9cbfba6dab667ea912e237df85b8adf3,2349c6d01a593177182a488e14943af84c55294b,9e024592b668f387e675f6bc5d8719bc116c8b0d8b27e9ec911f1e7525283686,cbea556c1d77286fd473ee53823c24a4efe71fefb64c41414506c84b64481c6615b50345cb6318ae8339ae50bf68b2956312684df6924c0ded7b46de7997e80b
ASO II: Last Guardian / Alpha Mission II,aso2lastguardian,World,,SNK,SNK,#input:joystick>8:buttons>3 #players:2:coop #genre:shmup>v #arcadeboard:snk>mvs #lang:ja:en #unfinished:proto,alpham2p.zip|alpham2.zip,9cbfba6dab667ea912e237df85b8adf3,2349c6d01a593177182a488e14943af84c55294b,9e024592b668f387e675f6bc5d8719bc116c8b0d8b27e9ec911f1e7525283686,cbea556c1d77286fd473ee53823c24a4efe71fefb64c41414506c84b64481c6615b50345cb6318ae8339ae50bf68b2956312684df6924c0ded7b46de7997e80b
Athena,athena,Japan,1986,SNK,SNK,#input:joystick>8:buttons>2 #players:2:coop #genre:action>platformer #arcadeboard:snk #lang:en #mameparent,athena.zip,34192281caa39ba0a47b01b31eb9d91a,7736b200563c8ed5233923b2f1f7400d1d6a71c2,4c9225385cddb6953eeee04aad720bb0f83dbd807ef4474a0b97808954cbafd9,394c050c2ab1996506a8b8194e4e712d154c8c0a2003c5e73f4e7dc170559b660b7ce2cba681ab33c7989959b82daa87ea5661ef29f48a4510cfb9db8c831c30
Athena,athena,Japan,1986,SNK,SNK,#input:joystick>8:buttons>2 #players:2:coop #genre:action>platformer #arcadeboard:snk #lang:en #unlicensed:bootleg,athenab.zip|athena.zip,34192281caa39ba0a47b01b31eb9d91a,7736b200563c8ed5233923b2f1f7400d1d6a71c2,4c9225385cddb6953eeee04aad720bb0f83dbd807ef4474a0b97808954cbafd9,394c050c2ab1996506a8b8194e4e712d154c8c0a2003c5e73f4e7dc170559b660b7ce2cba681ab33c7989959b82daa87ea5661ef29f48a4510cfb9db8c831c30
Super Athena,athena,World,1986,SNK,SNK,#input:joystick>8:buttons>2 #players:2:coop #genre:action>platformer #arcadeboard:snk #lang:en #unlicensed:bootleg,sathena.zip|athena.zip,34192281caa39ba0a47b01b31eb9d91a,7736b200563c8ed5233923b2f1f7400d1d6a71c2,4c9225385cddb6953eeee04aad720bb0f83dbd807ef4474a0b97808954cbafd9,394c050c2ab1996506a8b8194e4e712d154c8c0a2003c5e73f4e7dc170559b660b7ce2cba681ab33c7989959b82daa87ea5661ef29f48a4510cfb9db8c831c30
