Screen title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MAME filename,MD5,SHA1,SHA256,SHA512
Alpine Ski,alpineski,World,1981,Taito,Taito,#input:joystick>2h:buttons>1 #players:2:alt #genre:sports>skiing #tate:ccw #arcadeboard:taito #set:1 #lang:en #mameparent,alpine.zip,e616233bfa6a964a94661e889ea5ac60,b28c6122a46cc58ce7f172a2c8fc2e2069718b77,8f54a04207917aad7945426cc08cdc6a73cde0445d5ea42d971ef5edb4225ef9,9d922c9af7bd184a6c47de81e430f210ea50df6e7d76e738032a4ad25e3eb72b6a35478baf4aa021461ba73cacac1dd1820479073087b475a2c9faf048c41f63
Alpine Ski,alpineski,World,1981,Taito,Taito,#input:joystick>2h:buttons>1 #players:2:alt #genre:sports>skiing #tate:ccw #arcadeboard:taito #set:2 #lang:en,alpinea.zip|alpine.zip,e616233bfa6a964a94661e889ea5ac60,b28c6122a46cc58ce7f172a2c8fc2e2069718b77,8f54a04207917aad7945426cc08cdc6a73cde0445d5ea42d971ef5edb4225ef9,9d922c9af7bd184a6c47de81e430f210ea50df6e7d76e738032a4ad25e3eb72b6a35478baf4aa021461ba73cacac1dd1820479073087b475a2c9faf048c41f63
Arkanoid,arkanoid,Japan,1986-04-26,Taito,Taito,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en,arkanoidjb.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,Japan,1986,Taito,Taito,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en,arkanoidj.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,Japan,1986,Taito,Taito,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en,arkanoidja.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,USA,1986,Taito,Taito,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en,arkanoiduo.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,USA,1986,Taito,Taito,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en,arkanoidu.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en #mameparent,arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:1 #lang:en #unlicensed:bootleg,arkgcbl.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:2 #lang:en #unlicensed:bootleg,arkgcbla.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en #unlicensed:bootleg,ark1ball.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:1 #lang:en #unlicensed:bootleg,arkanoidjbl.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:2 #lang:en #unlicensed:bootleg,arkanoidjbl2.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,Tayto,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en #unlicensed:bootleg,arkatayt.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,Tayto,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en #unlicensed:bootleg,arkatayt2.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,Game Corporation,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:1 #lang:en #unlicensed:bootleg,arkangc.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid,arkanoid,World,1986,Taito,Game Corporation,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:2 #lang:en #unlicensed:bootleg,arkangc2.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Arkanoid: Revenge of Doh,arkanoidrevengeofdoh,Japan,1987-06,Taito,Taito,#input:dial:buttons>2 #players:2:alt #genre:blockbreaker #tate:ccw $spinner #arcadeboard:taito #lang:en,arknoid2j.zip|arknoid2.zip,e81c6630c279914eff92105c25f2fb19,3e347f3906eb97165ce29f5f4ca4baf41136b8c9,d0b5d93503c34ddc3357fca8a9bcd02250fbde62fb6b12cb34718154906bcac7,789c79b17659a63189f28aa042faab48819051bcb58d5ce844b11ec0312548b71b9da8ea574258d744b4af4070e5bb0dfdbf5e6e8866922cb0c9c37bd337372d
Arkanoid: Revenge of Doh,arkanoidrevengeofdoh,USA,1987,Taito,Romstar,#input:dial:buttons>2 #players:2:alt #genre:blockbreaker #tate:ccw $spinner #arcadeboard:taito #lang:en,arknoid2u.zip|arknoid2.zip,e81c6630c279914eff92105c25f2fb19,3e347f3906eb97165ce29f5f4ca4baf41136b8c9,d0b5d93503c34ddc3357fca8a9bcd02250fbde62fb6b12cb34718154906bcac7,789c79b17659a63189f28aa042faab48819051bcb58d5ce844b11ec0312548b71b9da8ea574258d744b4af4070e5bb0dfdbf5e6e8866922cb0c9c37bd337372d
Arkanoid: Revenge of Doh,arkanoidrevengeofdoh,World,1987,Taito,Taito,#input:dial:buttons>2 #players:2:alt #genre:blockbreaker #tate:ccw $spinner #arcadeboard:taito #lang:en #mameparent,arknoid2.zip,e81c6630c279914eff92105c25f2fb19,3e347f3906eb97165ce29f5f4ca4baf41136b8c9,d0b5d93503c34ddc3357fca8a9bcd02250fbde62fb6b12cb34718154906bcac7,789c79b17659a63189f28aa042faab48819051bcb58d5ce844b11ec0312548b71b9da8ea574258d744b4af4070e5bb0dfdbf5e6e8866922cb0c9c37bd337372d
Arkanoid: Revenge of Doh,arkanoidrevengeofdoh,Japan,1987,Taito,Taito,#input:dial:buttons>2 #players:2:alt #genre:blockbreaker #tate:ccw $spinner #arcadeboard:taito #lang:en #unlicensed:bootleg,arknoid2b.zip|arknoid2.zip,e81c6630c279914eff92105c25f2fb19,3e347f3906eb97165ce29f5f4ca4baf41136b8c9,d0b5d93503c34ddc3357fca8a9bcd02250fbde62fb6b12cb34718154906bcac7,789c79b17659a63189f28aa042faab48819051bcb58d5ce844b11ec0312548b71b9da8ea574258d744b4af4070e5bb0dfdbf5e6e8866922cb0c9c37bd337372d
Block,arkanoid,World,1986,Taito,Game Corporation,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:1 #lang:en #unlicensed:bootleg,arkblock.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Block,arkanoid,World,1986,Taito,Game Corporation,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:2 #lang:en #unlicensed:bootleg,arkbloc2.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Block,arkanoid,World,1986,Taito,Game Corporation,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #set:3 #lang:en #unlicensed:bootleg,arkbloc3.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Block 2,arkanoid,World,1986,Taito,SPA,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en #unlicensed:bootleg,block2.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Paddle 2,arkanoid,World,1986,Taito,,#input:dial:buttons:1 #players:2:alt #genre:blockbreaker #tate:cw $spinner #arcadeboard:taito #lang:en #unlicensed:bootleg,block2.zip|arkanoid.zip,2a27bfc2bd8e70274d82cada76a53bb5,ad4738bd6541aae319d40792d58058dfd8b182f0,6712a41606c0e8ea8734010b6e18da46b999d3d0978c84577786dec7ce7f5dfd,089a84182091adbadc13b8a0eaf83c5b0556f72dc36bd07cf6702f9079cf30e01903a036bd03fb24530d4462dba9f01001cb8540b17224cf070ddcb387237042
Balloon Bomber,balloonbomber,World,1980,Taito,Taito,#input:joystick>2h:buttons>1 #players:2:alt #genre:shmup #tate:ccw #arcadeboard:taito #lang:en #mameparent,ballbomb.zip,bd95aa39956fa02fdd5ecbd68f0437c2,46daff2917dbbb69b5081e904d182727fb4c83f0,807c29225b63b3deebe17d5487e00c5f796145da8111ea46a8a114941397af24,966b3fd5e7d35e5d7d0a2de66f4ada4c902447faf7cf0ae10ca2004a315105f4560136c8f83d71c206e3af6a6d01eac2f96904e6f5895c883c26802d837f64dd
Bio Attack,bioattack,World,1983,Taito,Taito,#input:joystick>8:buttons>1 #players:2:alt #genre:shmup>v #tate:ccw #arcadeboard:taito #based:movie #lang:en #mameparent,bioatack.zip,d704c659f1584dbe9b3719bce10c29b5,4fca0561e8397f32ae2bdc9573ffe40ee33fec5d,11492a4f2950663314adb4a41f0906cecae4f658ca3fefec7413519da85bdc05,2d76b1a60dceaef57330eddb1000a9f7978da461b8356fb245c6a116295ec1599091458a7abdd81980dcaffa0fa5533f863cc1a3480e1701fe84b6be8654fa31
Bubble Bobble,bubblebobble,Japan,1986-09,Taito,Taito,#input:joystick>2h:buttons>2 #players:2:coop #genre:platformer #arcadeboard:taito #lang:en,bublbobl1.zip|bublbobl.zip,e46e6e27c548654842b5175553ac24bd,d9ab88e1e243ee0462db64bef17c65f5f9b18338,482bd47ab0cd1e1a5dd30c4fcf5b76361a5d87998f34d84093988b030d7a02a3,8b469f842b70e8cd955c4038267726ef78ad80c016cca37b4709962aa069661534a63347524a1fd18fefee7bc6445a0df29016d525b8f0b377431b288dd3f0e7
Bubble Bobble,bubblebobble,Japan,1986,Taito,Taito,#input:joystick>2h:buttons>2 #players:2:coop #genre:platformer #arcadeboard:taito #lang:en #mameparent,bublbobl.zip,e46e6e27c548654842b5175553ac24bd,d9ab88e1e243ee0462db64bef17c65f5f9b18338,482bd47ab0cd1e1a5dd30c4fcf5b76361a5d87998f34d84093988b030d7a02a3,8b469f842b70e8cd955c4038267726ef78ad80c016cca37b4709962aa069661534a63347524a1fd18fefee7bc6445a0df29016d525b8f0b377431b288dd3f0e7
Bubble Bobble,bubblebobble,Japan,1986,Taito,Taito,#input:joystick>2h:buttons>2 #players:2:coop #genre:platformer #arcadeboard:taito #lang:en #unfinished:proto,bublboblp.zip|bublbobl.zip,e46e6e27c548654842b5175553ac24bd,d9ab88e1e243ee0462db64bef17c65f5f9b18338,482bd47ab0cd1e1a5dd30c4fcf5b76361a5d87998f34d84093988b030d7a02a3,8b469f842b70e8cd955c4038267726ef78ad80c016cca37b4709962aa069661534a63347524a1fd18fefee7bc6445a0df29016d525b8f0b377431b288dd3f0e7
