Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Aa! Megami-sama@ああっ女神さまっ,Aa! Megami-sama@ああっ女神さまっ,aamegamisama,Japan,1997-12-12,Data West,NEC Home Electronics,#players:1 #genre:adventure>visualnovel #addon:mouse>pcfx #save:backup #disc:1>2 #based:manganime #port:nec>pc98 #lang:ja
Aa! Megami-sama@ああっ女神さまっ,Aa! Megami-sama@ああっ女神さまっ,aamegamisama,Japan,1997-12-12,Data West,NEC Home Electronics,#players:1 #genre:adventure>visualnovel #addon:mouse>pcfx #save:backup #disc:2>2 #based:manganime #port:nec>pc98 #lang:ja
Akazukin Chacha: Osawagase! Panic Race!@赤ずきんチャチャ お騒がせパニックレース,Akazukin Chacha: Osawagase! Panic Race!@赤ずきんチャチャ お騒がせパニックレース,akazukinchachaosawagasepanicrace,Japan,1996-10-25,NEC Home Electronics,NEC Home Electronics,#players:6:vs #genre:board #based:manganime #lang:ja
Albaria no Otome@アルバレアの乙女,Albaria no Otome@アルバレアの乙女,albarianotomoe,Japan,1997-06-27,Gimmick House/Magical Craft,NEC Home Electronics,#players:1 #genre:adventure:sim #save:backup #lang:ja
Angelique Special@アンジェリーク Special,Angelique Special@アンジェリーク Special,angeliquespecial,Japan,1995-12-22,Ruby Party/Koei,NEC Home Electronics,#players:1 #genre:adventure:sim>date #save:backup #lang:ja
Angelique Special 2@アンジェリーク Special 2,Angelique Special 2@アンジェリーク Special 2,angeliquespecial2,Japan,1996-12-20,Ruby Party/Koei,NEC Home Electronics,#players:1 #genre:adventure:sim>date #save:backup #lang:ja
Angelique: Tenkū no Requiem@アンジェリーク 天空の鎮魂歌 レクイエム,Angelique: Tenkū no Requiem@アンジェリーク 天空の鎮魂歌 レクイエム,angeliquetenkuunorequiem,Japan,1998-04-02,Ruby Party/Koei,NEC Home Electronics,#players:1 #genre:rpg>j #save:backup #lang:ja
Battle Heat,Battle Heat@Battle Heat バトルヒート,battleheat,Japan,1994-12-23,Hudson,Hudson,#players:2:vs #genre:action:fighting #lang:ja
Blue Breaker: Ken yori mo Hohoemi wo@Blue Breaker ブルーブレイカー 剣よりも微笑みを,Blue Breaker: Ken yori mo Hohoemi wo@Blue Breaker ブルーブレイカー 剣よりも微笑みを,bluebreakerkenyorimohohoemiwo,Japan,1996-09-27,HuneX,NEC Home Electronics,#players:1 #genre:rpg>j #save:backup #lang:ja
Boundary Gate: Daughter of Kingdom@Boundary Gate バウンダリーゲート Daughter of Kingdom,Boundary Gate: Daughter of Kingdom@Boundary Gate バウンダリーゲート Daughter of Kingdom,boundarygatedaughterofkingdom,Japan,1997-01-24,Pack-In-Video/Polestar/Studio OX,NEC Home Electronics,#players:1 #genre:rpg>dungeoncrawler>j #save:backup #lang:ja
CanCan Bunny Extra DX,Can Can Bunny Extra DX@きゃんきゃんバニー Can Can Bunny エクストラ DX,cancanbunnyextradx,Japan,1996-09-27,Cocktail,Cocktail/NEC Home Electronics,#players:1 #genre:adventure>visualnovel #based:manganime #lang:ja
CanCan Bunny Extra DX,Pia Carrot e Yōkoso!! We've Been Waiting for You & Can Can Bunny Extra DX@Pia♡キャロットへようこそ!! We've Been Waiting for You & きゃんきゃんバニー Can Can Bunny エクストラ DX,cancanbunnyextradx,Japan,1997-11-28,Cocktail,Cocktail/NEC Home Electronics,#players:1 #genre:adventure>visualnovel #multigame:compilation #reboxed #based:manganime #lang:ja
Chip-chan Kick!@チップちゃんキィーック!,Chip-chan Kick!@チップちゃんキィーック!,chipchankick,Japan,1996-09-13,Cybertech Custom,NEC Home Electronics,#players:2:coop #genre:action #lang:ja
Chōjin Heiki Zeroigar@超神兵器ゼロイガー,Chōjin Heiki Zeroigar@超神兵器ゼロイガー,shoujinheikizeroigar,Japan,1997-08-08,Fupac/Sugeiya/Winds,NEC Home Electronics,#players:1 #genre:shmup>v #lang:ja
ComicRoad@こみっくろーど,ComicRoad@こみっくろーど ComicRoad,comicroad,Japan,1997-09-26,Studio Offside,NEC Home Electronics,#players:1 #genre:sim>life #save:backup #lang:ja
Cutey Honey FX@キューティーハニー Cutie Honey FX,Cutey Honey FX@キューティーハニー Cutie Honey FX,cutiehoneyfx,Japan,1995-11-10,Data West,NEC Home Electronics,#players:1 #genre:adventure>visualnovel:adventure #save:backup #based:manganime #lang:ja
Der Langrisser FX,Der Langrisser FX@デア ラングリッサー FX,derlangrisserfx,Japan,1996-04-26,Crosstalk/NCS,Masaya/NEC Home Electronics,#players:1 #genre:rpg>s #save:backup #port:sega>megadrive #lang:ja
Dōkyūsei 2@同級生2,Doukyuusei 2@同級生2,doukyuusei2,Japan,1996-08-08,Elf,NEC Avenue,#players:1 #genre:adventure:sim>date #save:backup #addon:mouse>pcfx #port:nec>pc98 #lang:ja
Dragon Knight 4,Dragon Knight 4,dragonknight4,Japan,1997-03-28,Elf,NEC Avenue,#players:1 #genre:rpg>s #save:backup #port:nec>pc98 #lang:ja
Farland Story FX@Farland Story ファーランドストーリー FX,Farland Story FX@Farland Story ファーランドストーリー FX,farlandstoryfx,Japan,1996-11-08,TGL,NEC Home Electronics,#players:1 #genre:rpg>s #addon:mouse>pcfx #save:backup #lang:ja
Fire Woman Matoigumi@ファイアーウーマン纏組,Fire Woman Matoigumi@ファイアーウーマン纏組,firewomanmatoigumi,Japan,1996-12-20,HuneX,Tokuma Shoten,#players:1 #genre:adventure:sim>date #save:backup #lang:ja
First Kiss Story@ファーストKiss☆物語 ストーリー,First Kiss Story@ファーストKiss☆物語 ストーリー,firstkissstory,Japan,1998-04-24,HuneX,NEC Home Electronics,#players:1 #genre:adventure>visualnovel:sim>date #save:backup #addon:mouse>pcfx #lang:ja
Fushigi no Kuni no Angelique@ふしぎの国のアンジェリーク,Fushigi no Kuni no Angelique@ふしぎの国のアンジェリーク,fushiginokuninoangelique,Japan,1996-10-11,Ruby Party/Koei,NEC Home Electronics,#players:1 #genre:board #lang:ja
Ginga Ojōsama Densetsu Yuna FX: Kanashimi no Siren@銀河お嬢様伝説 Galaxy Fraulein ユナ♥ FX 哀しみのセイレーン,Ginga Ojōsama Densetsu Yuna FX: Kanashimi no Siren@銀河お嬢様伝説 Galaxy Fraulein ユナ♥ FX 哀しみのセイレーン,gingaojousamadensetsuyunafxkns,Japan,1996-03-08,Red/Will,Hudson,#players:1 #genre:adventure>visualnovel #save:backup #lang:ja
Hataraku Shōjo: Tekipaki Working Love FX@はたらく☆少女 てきぱきワーキン♥ラブFX,Hataraku Shōjo: Tekipaki Working Love FX@はたらく☆少女 てきぱきワーキン♥ラブFX,hatarakushoujotekipakiworkinglovefx,Japan,1998-03-27,NEC Home Electronics,NEC Home Electronics,#players:1 #genre:adventure #save:backup #based:manganime #lang:ja
J. B. Harold: Blue Chicago Blues,J. B. Harold: Blue Chicago Blues@J.B. Harold ブルーシカゴブルース Blue Chicago Blues,bluechicagoblues,Japan,1996-03-22,Riverhill,NEC Home Electronics,#players:1 #genre:adventure>visualnovel #save:backup #disc:1>2 #port:laseractive #lang:ja
J. B. Harold: Blue Chicago Blues,J. B. Harold: Blue Chicago Blues@J.B. Harold ブルーシカゴブルース Blue Chicago Blues,bluechicagoblues,Japan,1996-03-22,Riverhill,NEC Home Electronics,#players:1 #genre:adventure>visualnovel #save:backup #disc:2>2 #port:laseractive #lang:ja
Kishin Dōji Zenki FX: Vajra Fight@鬼神童子ZENKI FX 金剛炎闘 ヴァジュラ　ファイト,Kishin Dōji Zenki FX: Vajra Fight@鬼神童子 Zenki FX 金剛炎闘 ヴァジュラ　ファイト,kishindoujinzenkifxvajrafight,Japan,1995-12-22,Hudson,Hudson,#players:2:coop #genre:action>hackandslash:brawler #save:backup #based:manganime #lang:ja
Kokū Hyōryū Nirgends@Nirgends 虚空漂流ニルゲンツ,Kokū Hyōryū Nirgends@Nirgends 虚空漂流ニルゲンツ,kokuuhyouryuunirgends,Japan,1996-06-28,Micro Cabin,NEC Home Electronics,#players:1 #genre:adventure:sim>flight #save:backup #lang:ja
Konpeki no Kantai: Deep Blue Feet@紺碧の艦隊 Deep Blue Feet,Konpeki no Kantai@紺碧の艦隊,konpekinokantai,Japan,1995-03-31,Micro Cabin,NEC Home Electronics,#players:1 #genre:sim>strategy #based:manganime #lang:ja
Last Imperial Prince,Last Imperial Prince,lastimperialprince,Japan,1997-03-14,Nihon Application,NEC Home Electronics,#players:1 #genre:rpg>a #save:backup #disc:1>2 #lang:ja
Last Imperial Prince,Last Imperial Prince,lastimperialprince,Japan,1997-03-14,Nihon Application,NEC Home Electronics,#players:1 #genre:rpg>a #save:backup #disc:2>2 #lang:ja
Lunatic Dawn FX@Lunatic Dawn ルナテイックドーン FX,Lunatic Dawn FX@Lunatic Dawn ルナテイックドーン FX,lunaticdawnfx,Japan,1995-11-24,Artdink,NEC Home Electronics,#players:1 #genre:rpg>j #save:backup #lang:ja
Mahjong Gokū Tenjiku@麻雀悟空 天竺,Mahjong Gokū Tenjiku@麻雀悟空 天竺,mahjonggokuutenjiku,Japan,1995-03-24,ChatNoir,NEC Home Electronics,#players:1 #genre:board>mahjong #lang:ja
Makeruna! Makendou Z@負けるな!魔剣道Z,Makeruna! Makendou Z@負けるな!魔剣道Z,makerunamakendouz,Japan,1998-03-20,Fill-in-Cafe/Sugeiya/Datam Polystar,NEC Home Electronics,#players:1 #genre:rpg>j #save:backup #lang:ja
Megami Tengoku II@女神天国II,Megami Tengoku II@女神天国II,megamitengoku2,Japan,1996-07-26,HuneX,NEC Home Electronics,#players:1 #genre:sim>life #save:backup #lang:ja
Minimum Nanonic@みにまむなのにっく,Minimum Nanonic@Minimum Nanonic みにまむなのにっく,minimumnanotic,Japan,1997-10-24,Polestar/Studio OX,NEC Home Electronics,#players:1 #genre:adventure>visualnovel #save:backup #lang:ja
Miraculum: The Last Revelation,Miraculum: The Last Revelation@Miraculum ミラークルム The Last Revelation ザ・ラスト・レベレーション,miraculumthelastrevelation,Japan,1996-03-29,RayForce,NEC Home Electronics,#players:1 #genre:rpg>j #save:backup #lang:ja
Ojōsama Sōsamō@お嬢様捜査網,Ojōsama Sōsamō@お嬢様捜査網,ojousamasousamou,Japan,1996-05-31,Head Room/Marcus,NEC Home Electronics,#players:1 #genre:adventure:puzzle #save:backup #lang:ja
Pachio-kun FX: Maboroshi no Shima Daisakusen@パチオくんFX 幻の島大決戦,Pachio-kun FX: Maboroshi no Shima Daisakusen@パチオくんFX 幻の島大決戦,pachiokunfxmaboroshinoshimadaisakusen,Japan,1995-09-22,Coconuts,NEC Home Electronics,#players:1 #genre:rpg:parlor>pachinko #save:backup #lang:ja
Pia Carrot e Yōkoso!! We've Been Waiting for You@Pia♡キャロットへようこそ!! We've Been Waiting for You,Pia Carrot e Yōkoso!! We've Been Waiting for You@Pia♡キャロットへようこそ!! We've Been Waiting for You,piacarroteyoukoso,Japan,1997-05-23,Cocktail,Cocktail,#players:1 #genre:sim>date:adventure>visualnovel #save:backup #port:nec>pc98 #lang:ja
Pia Carrot e Yōkoso!! We've Been Waiting for You@Pia♡キャロットへようこそ!! We've Been Waiting for You,Pia Carrot e Yōkoso!! We've Been Waiting for You & Can Can Bunny Extra DX@Pia♡キャロットへようこそ!! We've Been Waiting for You & きゃんきゃんバニー Can Can Bunny エクストラ DX,piacarroteyoukoso,Japan,1997-11-28,Cocktail,Cocktail,#players:1 #genre:sim>date:adventure>visualnovel #save:backup #port:nec>pc98 #reboxed #multigame:compilation #lang:ja
Power Dolls,Power Dolls FX,powerdollsfx,Japan,1996-02-23,Kogado,NEC Home Electronics,#players:1 #genre:sim>strategy #addon:mouse>pcfx #save:backup #port:nec>pc98 #lang:ja
