Screen title @ Exact,Commercial title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Bishōjo Senshi Sailor Moon: Sailor Stars: Fuwa Fuwa Panic 2@美少女戦士セーラームーン セーラースターズ ふわふわパニック2,Bishōjo Senshi Sailor Moon: Sailor Stars: Fuwa Fuwa Panic 2@美少女戦士セーラームーン セーラースターズ ふわふわパニック2,bishoujosenshisailormoonsailorstarsfuwafuwapanic2,Japan,1996-09-27,Tom Create,Bandai,#players:2:vs #genre:puzzle>drop #addon:peripheral>sufami #save:password #based:manganime #lang:ja,55d6940953b7e1ea4d88725cba2fdbca,f72ea67468cf34360042bdd7974fd588a2407566,f73bda08743565e0bd101632ebbac2d363d703a3ab39d23f49d95217cab29269,03a7c1dde419b2fef9835a4db7777a3061c24929debefdcac63d04c0f62601fe1f5567ddc5cb3231c60c042221395a071a35923dba1932374303eddf3638766a 
Crayon Shin-chan: Nagagutsu Dobon!!@クレヨンしんちゃん 長ぐつどぼん!!,Crayon Shin-chan: Nagagutsu Dobon!!@クレヨンしんちゃん 長ぐつどぼん!!,crayonshinchannagagutsudobon,Japan,1996-09-27,Bandai,Bandai,#players:2:vs #genre:action #addon:peripheral>sufami #save:password #based:manganime #lang:ja,3c951183ae15567c811a675cf44aa22c,98a99807a958c1175a2b257166d7b08b2be6d442,afb3f2a83b5bfcb1b8829b6995f108cc4d64ca322d1ba4a50b83af6e1f2e89bd,0d6afe9ebd5742ff931838598219f20e076003373387779c33531dd67299338567fad1c077e5f2525c664aaa3e130ba368d1686570c9d5bf354bb0a2eec46e76
Gegege no Kitarō: Yōkai Donjara@ゲゲゲの鬼太郎 妖怪ドンジャラ,Gegege no Kitarō: Yōkai Donjara@ゲゲゲの鬼太郎 妖怪ドンジャラ,gegegenokitarouyoukaidonjara,Japan,1996-07-19,Tom Create,Bandai,#players:4:vs #genre:board>party>mahjong:action:puzzle #addon:peripheral>sufami:multitap>super #based:manganime #lang:ja,c9cae86f503bd0b6ebef6c481b179536,965b2582b13ee361eca93937b1b093049bc8d958,d93b3a570e7cf343f680ab0768a50b77e3577f9c555007e2de3decd6bc4765c8,ccad527fec36fca6ec42313de5d8f0ea54a3c4900d46bb826df9b604d7f2f77c32812b17ebd6b94731e81730a46c5378070852ee0e73e2c4222e0ebdfc906e22
Gekisō Sentai Carranger: Zenkai! Racer Senshi@激走戦隊カーレンジャー 全開!レーサー戦士,Gekisō Sentai Carranger: Zenkai! Racer Senshi@激走戦隊カーレンジャー 全開!レーサー戦士,gekisousentaicarrangerzenkairacersenshi,Japan,1996-08-23,Natsume,Bandai,#players:1 #genre:action>hackandslash #addon:peripheral>sufami #based #lang:ja,27eb2c85bb733416762fa1bcd91a4ab7,50b9d6ebf0e3f4b9dad5d0660d6c834820cbe391,89aecd4e23d8219c8de3e71bb75db3dfe667d51c1eba4ea7239d2f772743d0cc,52d1e244b5a486b216e4c565327ace589d8c8a21a94fa5a3ec3fe85593546b5aec526d96fa3deb54e35084f9505cc2c9ddc2845dd0a09d187e5cd70e243669ef
Poi Poi Ninja World@ぽいぽい忍者ワールド,Poi Poi Ninja World@ぽいぽい忍者ワールド,poipoininjaworld,Japan,1996-06-28,Tom Create,Bandai,#players:4:vs #genre:action>maze #addon:peripheral>sufami:multitap>super #lang:ja,d5c6e9038e60c23b05d5690a03ffa4c9,ae7421b87a9f4cc7c189680dfbb39453905aa5e6,602b20b788640f5743487108a10f3f77bca5ce2d24208b25b1ca498a96eb0d69,e1e95c653bb5fcb029a26c6e70bbf00d76c5f1a406ef96c5dfb3b319f89e3c06decdc7866eff3748fb6214ed1e385338560b4084a956fe7355df616901546114
SD Gundam Generation: Axis Senki@SDガンダムジェネレーション アクシズ戦記,SD Gundam Generation: Axis Senki@SDガンダムジェネレーション アクシズ戦記,sdgundamgenerationaxissenki,Japan,1996-08-23,Tom Create,Bandai,#players:2:vs #genre:sim>strategy #addon:peripheral>sufami #based:manganime #search:feature>gundam #lang:ja,16375432c8ffc540b459cfd31723572b,6f5be110a606f34bb797a30c1f07b84b2ff38425,2a9d7c9a61318861028a73ca03e32a48cff162d76cba36fbaab8690b212efe9b,66c3b50f018b106b09a14b1b64dd9d6e48c2f6220f2933957b913007ed7554bb45e1fde98731bc125fe54cea2ecf27aead99690e5463bcff90b4d41cf2bcdf33
SD Gundam Generation: Babylonia Kenkoku Senki@SDガンダムジェネレーション バビロニア建国戦記,SD Gundam Generation: Babylonia Kenkoku Senki@SDガンダムジェネレーション バビロニア建国戦記,sdgundamgenerationbabyloniakenkokusenki,Japan,1996-08-23,Tom Create,Bandai,#players:2:vs #genre:sim>strategy #addon:peripheral>sufami #based:manganime #search:feature>gundam #lang:ja,c1305ecd913e12719c5ea07eea4a440e,f18f680b981077cfa025161cfe6c9594b6d18078,60ac017c18f534e8cf24ca7f38e22ce92db95ea6c30b2d59d76f13c4f1c8a6e4,44dc99cd47ffed7bfc4920274d795e8ed056d8954504b41fe4c96e593c7c267fc5a575287d633d352ab0c7b453d74c5032eabb6aca5ffed67bedff063f767f61
SD Gundam Generation: Colony Kakutōki@SDガンダムジェネレーション コロニー格闘記,SD Gundam Generation: Colony Kakutōki@SDガンダムジェネレーション コロニー格闘記,sdgundamgenerationcolonykakutouki,Japan,1996-09-27,Tom Create,Bandai,#players:2:vs #genre:sim>strategy #addon:peripheral>sufami #based:manganime #search:feature>gundam #lang:ja,3e84a2bccc251ff42c01166ba55dfdaf,0a335ef645d058c2da5389ad622c62d0bffce944,e639b5d5d722432b6809ccc6801dc584e1a3016379f34b335ed2dfa73b1ebf69,ed94031f826ccbec953c0800e600f3196f6f65c9e10505d9a56f95ba0e774cc8196a97cf9e6a459004cef4a79c7cc4597428ae42e7b5cd32c8369e14c7c06ff4
SD Gundam Generation: Gryps Senki@SDガンダムジェネレーション グリプス戦記,SD Gundam Generation: Gryps Senki@SDガンダムジェネレーション グリプス戦記,sdgundamgenerationgrypssenki,Japan,1996-07-26,Tom Create,Bandai,#players:2:vs #genre:sim>strategy #addon:peripheral>sufami #based:manganime #search:feature>gundam #lang:ja,3bf7fd80b609beb19fd4c40b65f9224c,f280004dd92b70b1bf4518e054b4181a9bbba245,8547a08ed11fe408eac282a90ac46654bd2e5f49bda3aec8e5edf166a0a4b9af,23825ab94da8af4f86eab67593495aad057917bb9774ba0322f57025ab91ea9206b44b48b6ef2bc96381828e9929bd6dc30cb0a46fd62f8745f463c2561df298
SD Gundam Generation: Ichinen Sensouki@SDガンダムジェネレーション 一年戦争記,SD Gundam Generation: Ichinen Sensouki@SDガンダムジェネレーション 一年戦争記,sdgundamgenerationichinensensouki,Japan,1996-07-26,Tom Create,Bandai,#players:2:vs #genre:sim>strategy #addon:peripheral>sufami #based:manganime #search:feature>gundam #lang:ja,84d83ded05c6ec31654dd1e2116e32d3,adc7716a4b081aba5cde3525881c51ee6d600396,3e82215bed08274874b30d461fc4a965c6bca932229da5d46d56e36f484d65eb,96cd68ea92bd67084efc5dffb8179a413c29bc9c2ba88fcbe579840cd87edb20581541d1b0854f6d2e717dfdec4b25ddf637528f5663b9d94ec58fc1aced9dd9
