Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
19: Neunzehn@19 ヌイーゼン Neunzehn,19: Neunzehn,neunzehn,Japan,1988-03-04,Soft Pro,Soft Pro,#players:1 #genre:sim>strategy #addon:peripheral>disksystem #save:backup #lang:ja,3075aa99cf591cd5ed5366a30be5043a,b31c759efd870f189acccd8b18e8928c2b070519,20e6488e72077438bb08f01da333e795182f1e7477daf19ded18ad39f3da2e8e,e6269aed2c93ff6b0c97e77209b4ca8a79cb40643ada58831aeb5c59228228e213ac39bb35349efbe602995287aadec4d4577fc2bd3eedf28c715b880534b431
Adian no Tsue@アディアンの杖,Adian no Tsue@アディアンの杖,adiannotsue,Japan,1986-12-12,Sunsoft,Sunsoft/ASK Kodansha,#players:1 #genre:rpg>a #addon:peripheral>disksystem #save:backup #lang:ja,2155652ba2ce18282705337d03b3f505,1db213b613d6706b5e97ea0f5aad9bd804793a96,c23059de3384c068023cb51d4e4c5496a41a8493f3dfb9470e95e28af6bbdd92,b19d82ac32198172fcf5378858ee629cb4e461ca412531e206b80d3a8da0a364df5030fb02b4cca53f262f9315736978ab827118ae4d4f5bc43ec1206345b056
Ai Senshi Nicol@愛戦士ニコル,Ai Senshi Nicol@愛戦士ニコル,aisenshinicol,Japan,1987-04-24,Konami,Konami,#players:1 #genre:rpg>a #addon:peripheral>disksystem #save:backup #lang:ja,7839c79cb30fab6440114554508609fa,506e72b65670e1d149751d166836beaf5c261c5e,1cf0fa4bd69764ab2b00f38d603c9371ec6cdcac9f1aedceb79ee42b2fb23d04,598b8bd4598a5f9f937cf335c65b2c7797a300c6ba11f625bf18373ea028e95afe477f1b72866968daa418af8debe92e3c4e7de9e4a792f757b6183181ba1f3b
Akumajō Dracula@悪魔城ドラキュラ,Akumajō Dracula@悪魔城ドラキュラ,akumajoudracula,Japan,1986-09-26,Konami,Konami,#players:1 #genre:action>platformer #addon:peripheral>disksystem #search:franchise>castlevania:feature>dracula #lang:ja,62ce2cf11cca70f6db84f5e6d7ada1c4,85977c0dfbbbf4362fb714f663a653f2dd8fc753,9ca2875719507b2f4c3ae86bfb73a063d8cf0e9061c9ac2f4065512003cfe67d,95bf46d13a5478b0ab9fa9d14e39e56d0ea26f68d6891c193711af6439e28723c25ec7d1fd69c0aab7f804dc0a12528caa70fbdb7f0cf669b546655f8609f25f
Akumajō Dracula@悪魔城ドラキュラ,Akumajō Dracula@悪魔城ドラキュラ,akumajoudracula,Japan,,Konami,Konami,#players:1 #genre:action>platformer #addon:peripheral>disksystem #search:franchise>castlevania:feature>dracula #lang:ja #rev:1,fe739e10ec1f70888a4cac28d8562fae,3f32767a51c43d3472459240b7cc230dc6a11fd5,13230b92f0fd5db1d7ceb3b4c6ac7118804491f376cd127503b4ff624d8c1420,e3e33a20eba24321f458776e0e2fcbf7a43829c1b6cd91e42c1397378927d1adfdea555f53d400c8747d40575d62986af3607eba44d404788e8b3832d5f9941a
Akumajō Dracula@悪魔城ドラキュラ,Akumajō Dracula@悪魔城ドラキュラ,akumajoudracula,Japan,1986-12-10,Konami,Konami,#players:1 #genre:action>platformer #addon:peripheral>disksystem #compatibility:disksystem>dw #search:franchise>castlevania:feature>dracula #lang:ja #rev:2,33def5907d3561f6649a5e0ccf9a1d09,14366a2aba5905896418d8b7fe05f4229489a980,87cb89f18ceb4ce0389d5d6a597c56d46c71d8f6f319bb67a456a5b2b7cfae4a,d325d714bbaef1bd290c1456dfa15aa9492bea54e76a67ee4e974137658e0d908f7dc8cbb7d080da6c41691c72a661f4d998dc3860fdec3ee790a0cf2b141924
Akū Senki Raijin@亜空戦記 Raijin ライジン,Akū Senki Raijin@亜空戦記 Raijin ライジン,akuusenkiraijin,Japan,1988-07-12,Micro Cabin,DOG Square,#players:1 #genre:shmup>v:action>runandgun #addon:peripheral>disksystem #save:backup #compatibility:disksystem>dw #lang:en,9e7224595700636f69734e5b0e4a86dc,f43863b8b24a21455151f957a0e99ef48ab711f8,2551957a85526801307855711f85e05666fe2b3e7f80184dade314f96eeb5d47,b38dfd8e5e727f33f8018d6dab2a70eff1e65ea66b5cccbfbfcf6946d3971931b74fe9c9173e2ee6790236b2877f69fadd0f610e0cbcd905dbbfc90e00ea5847
All Night Nippon Super Mario Bros.@オールナイトニッポン Super Mario Bros.,All Night Nippon Super Mario Bros.@オールナイトニッポン スーパーマリオブラザーズ,allnightnipponsupermariobros,Japan,1986-12-20,Nintendo,Nippon Housou/Fuji TV,#players:1 #genre:action>platformer #addon:peripheral>disksystem #based #search:feature>mario #search:keyword>endorsed #search:keyword>promo #lang:en,c8719692d0b9d9649492ffb1c2d26aa3,f30bdd3c556604d7eaa6d0f4864d5566e519b5d4,a762d0a90d16c84b5f2b014816b37675cf5115320be7e815effbb64d91b2014d,b7358c47d6c2c40d675b7a32443e3e9a95655f40615dd38b531ce33e06d7adf193094c33e78af76570f662edc10cb0159c911285c8b4a4f607bca8c26283a30c
Almana no Kiseki@アルマナの奇跡,Almana no Kiseki@アルマナの奇跡,almananokiseki,Japan,1987-08-11,Konami,Konami,#players:1 #genre:action>platformer #addon:peripheral>disksystem #lang:ja,98ac12e7f11b0aaf082c9cf45103c430,93d8d3b4b74fe087cc31b75aee2607ecc7a1d2dd,fe010c896a6e16be3eff490715403c08b971859c11bc054a4ba7589467a2c40c,091246cade19a8c6e799fbcae3344d563a4a644b25e2ffd2d4aa484fc3c0ea31f32d7972a10a46fa9366b058c43d2c936c5466a0641d747ec4d7a166811a9e98
Apple Town Story: Little Computer People,Apple Town Monogatari: Little Computer People@アップルタウン物語 Little Computer People,appletownmonogatarilcp,Japan,1987-04-03,Square,DOG Square,#players:1 #genre:sim>life #addon:peripheral>disksystem #lang:ja,cb3984d82c60541cafaa8a6786647791,c6b15e0fe1887f60d31e95d72d9c8e19a3c6fef1,99dc425b21606c3f65d8bc6e0a5d5a61e1b260038ed17335d2d4bb14d0275b04,efbefca890d64ee18c5ea2e8b23d2d7116daaa7880218537f71a259e5d5ed01d94fed40e0b8c1c20579d365d9270dcb2dad07d5f76c09460e602f7f9aacc5a53
