Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
102 Dálmatas: Cachorros Al Rescate de Disney,102 Dalmatians: Puppies to the Rescue@Disney's 102 Dalmatians: Puppies to the Rescue,102dalmatianspuppiestotherescue,Spain,2000-12-08,Crystal Dynamics/Digital Eclipse,Activision/Disney,#players:1 #genre:action>platformer:adventure #save:password #based:movie:disney #lang:es,2a65d5c037463fe93127d45d4145a0a6,eaf3bd27cf7cb084068c5a139da5383a74105ffa,14825ad317a2d39e1f855622dfaf5b2f5477ffae410dbb9118d20b064b5bd0f9,a810938db06120059b75a5215709f44e814ee929f51370ffd3e4dce7d773be949e7520dfde0d7e872c68a389f8dcfd9055edeb3cfe281e974341513cf250041f
102 Dalmatians: Puppies to the Rescue@Disney's 102 Dalmatians: Puppies to the Rescue,102 Dalmatians: Puppies to the Rescue@Disney's 102 Dalmatians: Puppies to the Rescue,102dalmatianspuppiestotherescue,USA,2000-12-06,Crystal Dynamics/Digital Eclipse,Activision/Disney,#players:1 #genre:action>platformer:adventure #save:password #based:movie:disney #lang:en,2b7e2442d503ce368fc93a9ebf0f70ef,9f0f45d84e60e9c6f52fde14e1c0a49992aed025,bfe2bc3682e92d3d6583e4e06539f61add816e3566c292f890865f18d885aeb2,0f4b5281b7ca19b26b81ef82b0fcdf4ca1254fb4d5b8ac21073a357c599b245290d4d10d0372ed654d08d21d4cc01c73eaa719f5b4f5ab0bfa880d419babf43b
102 Dalmatians: Puppies to the Rescue@Disney's 102 Dalmatians: Puppies to the Rescue,102 Dalmatians: Puppies to the Rescue@Disney's 102 Dalmatians: Puppies to the Rescue,102dalmatianspuppiestotherescue,Europe,2000-12-08,Crystal Dynamics/Digital Eclipse,Activision/Disney,#players:1 #genre:action>platformer:adventure #save:password #based:movie:disney #lang:en,2b7e2442d503ce368fc93a9ebf0f70ef,9f0f45d84e60e9c6f52fde14e1c0a49992aed025,bfe2bc3682e92d3d6583e4e06539f61add816e3566c292f890865f18d885aeb2,0f4b5281b7ca19b26b81ef82b0fcdf4ca1254fb4d5b8ac21073a357c599b245290d4d10d0372ed654d08d21d4cc01c73eaa719f5b4f5ab0bfa880d419babf43b
102 Dalmatiner@Disneys 102 Dalmatiner,102 Dalmatiner@Disneys 102 Dalmatiner,102dalmatianspuppiestotherescue,Germany,2000-12-08,Crystal Dynamics/Digital Eclipse,Activision/Disney,#players:1 #genre:action>platformer:adventure #save:password #based:movie:disney #lang:de,a649ef1410ae4c24020fb8b0113739e3,69109b87dae04fcb9b65374165527d03845a2dc3,1dc0055859edc7580bde7e9fbc3d7e17cbc7ecb9f1b7886fa4959fffd8c5708b,b77dc5e9e861b942bd46aa7ac6931386ab4a311b3a2987af2d8622aa57da7fab1c09e8c6fcf719577d8c06aec5a4a52d07c6e8a90a741b4b31be69d670695c7f
10-Pin Bowling,10 Pin Bowling,10pinbowling,Europe,1999-10,Morning Star,Majesco,#players:2:vs #genre:parlor>bowling #lang:en,85c0c028e6177cda40401f14d16699f4,90d78bf2f51eed998002d8733d6e223b6478f487,8697eaa382b058e63e5be2b0c82ee7ffd8768cd04e39d6da021b12be576c9715,1742bd086ec3ad83681cd1e6315e618fcd79bde509543e78901f401293ee4c291983c984da5e008f8d59f4137d4db8546fb533c2a16fa5611c125ab64e163dbe
10-Pin Bowling,10 Pin Bowling,10pinbowling,USA,1999-08,Morning Star,Majesco,#players:2:vs #genre:parlor>bowling #embedded:vibration>rumble #lang:en,6b055c6d12e477fbfd7bed1b495d56f7,eb0a65dc3069ae5261b04437ffac5efc12697c2a,d48cece02fb8143b699aa6c2a3c899532f5ea2ea113a3195d69609da6c2b02fe,778ad0ceeb96d95eacdf69419e613e72bf2fb91f3eae25601eeaeb638337caf1113e585e4cd45a4ebac65db81531287ab51925ebd09f523dec596637c338f74b
1942,1942,1942,USA,2000-05-19,Digital Eclipse,CAPCOM,#players:2:alt #genre:shmup>v #addon:printer>pocketprinter #save:password #port:arcade #lang:en,a31652b6d1e7fc647c4af7b9dfe05ff5,d960e951b18d07e79d046313df49c18313664224,c8497ee7a25d1eb7cf4ef1604b2fd7836a64c5c30e8334f7a48f1ed2a27b5cc1,85e84474ec9f4ed4785c27e08b76e1a5f2e81675f1240aaa0a9eecb47f102607d41df500231e66577e59f1d41c99f8febb648e60600c58d76ec82e70a7b1af04
1942,1942,1942,Europe,2001-01,Digital Eclipse,CAPCOM,#players:2:alt #genre:shmup>v #addon:printer>pocketprinter #save:password #port:arcade #lang:en,a31652b6d1e7fc647c4af7b9dfe05ff5,d960e951b18d07e79d046313df49c18313664224,c8497ee7a25d1eb7cf4ef1604b2fd7836a64c5c30e8334f7a48f1ed2a27b5cc1,85e84474ec9f4ed4785c27e08b76e1a5f2e81675f1240aaa0a9eecb47f102607d41df500231e66577e59f1d41c99f8febb648e60600c58d76ec82e70a7b1af04
3D Pocket Pool,3D Pocket Pool,3dpocketpool,Europe,2001-03,Aardvark/Lo-lite/Conam,Virgin,#players:2:vs #genre:parlor>billiards #lang:en:fr:de:es:it:nl,429e6da4b32d8caa22e78d92c0febd12,11ee7ba924f80e1c546af4749ea46ac5c8c75a5d,bca569b0d52c85d79e4231e2ea8a5e6e7198cc31f11a8aa997e40bd2abb7b6d9,639bc157f16ef9c0bcfb6ec2f94a6ad871ecd562396d2a740a4b896d4bf3e030cb62f67fbae09785aff33f3170197ff3fe60991cafd812979e16202a76a47d1f
3D Pool Allstars,,3dpocketpool,USA,2001,Aardvark/Lo-lite/Conam,Titus,#players:2:vs #genre:parlor>billiards #lang:en:fr:es #unfinished:proto,4042d8319068186a02b3de972f6f4ed0,f7289c3eed275286d0fb3dc7097098276b746786,74e4bbb8ae146af9578afaa434373825bdaff8be1ac3413bc0dd797d80f5012f,19965e1551495f7e20e146a04941ff5051687b498d5d09208e519c711500877b9b4d691588d81d6097d3e44692d2da073be1aa8f1168d9c76ebd6d758bf5a474
