Screen title @ Exact,Commercial title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
BS Bokujō Monogatari (Dai-1-wa)@BS 牧場物語 (第1話),,bsbokujoumonogatari,Japan,1996-09-02,Amccus/Team Y&M,Nintendo,#players:1 #genre:sim>farm #addon:online>satellaview:mouse>sfc #compatibility:superfamicom>soundlink #lang:ja,,,,
BS Bokujō Monogatari (Dai-2-wa)@BS 牧場物語 (第2話),,bsbokujoumonogatari,Japan,1996-09-09,Amccus/Team Y&M,Nintendo,#players:1 #genre:sim>farm #addon:online>satellaview:mouse>sfc #compatibility:superfamicom>soundlink #lang:ja,399660ec596d84d98c84fd7dd089c8d9,2f15cf736d7370646cfbd825e6d66efa0e6deb04,4c8e360696a2f0424e68e3d1632dd82ab2343e6a75fe5dc548f3b7a83afbd131,f89a472c7bde758a45f8cc4979db8defee09358896c147b71b578fee3151f187d82aa73c53028284aa6755f5af2a6ab9c246fe9890cb72f6544db905f1f78dd9
BS Bokujō Monogatari (Dai-3-wa)@BS 牧場物語 (第3話),,bsbokujoumonogatari,Japan,1996-09-16,Amccus/Team Y&M,Nintendo,#players:1 #genre:sim>farm #addon:online>satellaview:mouse>sfc #compatibility:superfamicom>soundlink #lang:ja,,,,
BS Bokujō Monogatari (Dai-4-wa)@BS 牧場物語 (第4話),,bsbokujoumonogatari,Japan,1996-09-23,Amccus/Team Y&M,Nintendo,#players:1 #genre:sim>farm #addon:online>satellaview:mouse>sfc #compatibility:superfamicom>soundlink #lang:ja,8838b2cd2e2a816ed8fefce98cbc7ebc,6011df3c53de919fcf2e6fd104d5ea1b7a0cb3d6,4027cbdcd55ddf753dd7e15db949d535d0856061c2cc8ab5d60203a8b9031979,c3b6ea7bf6b8307fa5915efce83172c15b42c2dfd971639e203cb2af27a81e1b14d44ca6eba89070b49a3e5ebdb8cfa9605da0aa0f967f6d22e70c2a785a1a03
BS Dragon Quest I (Dai-1-wa)@BS Dragon Quest I ドラゴンクエスト　(第1話),,dragonquest,Japan,1996-02-04,Enix,Nintendo,#players:1 #genre:rpg>j #addon:online>satellaview #save:backup #compatibility:superfamicom>soundlink #port:nintendo>famicom #lang:ja,dc0d0a1580fb5dd535dd549f541877dc,89b291a13635a1719907d9519562da83649b7a28,a013c8bde562980da9cb21b47e7d37ee849d781b68aedf5044602773d1bbfaab,434a6a5099cb85aa4489b3b06bc8c94d1d4d0c815e59794b3d3a46791f41d9b23d20e88d0308a8fa77a9e731006e79ea1e49221f3b01c5d98296134c966727a4
BS Dragon Quest I (Dai-2-wa)@BS Dragon Quest I ドラゴンクエスト　(第2話),,dragonquest,Japan,1996-02-11,Enix,Nintendo,#players:1 #genre:rpg>j #addon:online>satellaview #save:backup #compatibility:superfamicom>soundlink #port:nintendo>famicom #lang:ja,,,,
BS Dragon Quest I (Dai-3-wa)@BS Dragon Quest I ドラゴンクエスト　(第3話),,dragonquest,Japan,1996-02-18,Enix,Nintendo,#players:1 #genre:rpg>j #addon:online>satellaview #save:backup #compatibility:superfamicom>soundlink #port:nintendo>famicom #lang:ja,,,,
BS Dragon Quest I (Dai-4-wa)@BS Dragon Quest I ドラゴンクエスト　(第4話),,dragonquest,Japan,1996-02-25,Enix,Nintendo,#players:1 #genre:rpg>j #addon:online>satellaview #save:backup #compatibility:superfamicom>soundlink #port:nintendo>famicom #lang:ja,,,,
BS Fire Emblem: Akaneia Senki Hen (Dai-1-wa: Palace Kanraku) (4-4)@BS ファイアーエムブレム アカネイア戦記編 (第1話 パレス陥落) (4-4),,bsfireemblem,Japan,1997-09-28,Intelligent Systems,Nintendo,#players:1 #genre:rpg>s #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,d329ea8cafe57fc02678f61725eb464a,da2c02ff04d454a183c9e07df5323adfe0961ce8,bd11e6b8d9bb2a7d20fd31d894e052e4f4718dd6db94cca317fbbd104f5b3d9d,fa024370747c4954f52ed50b12699f741f119c73ca4be2b989556fb19e3ea8d3a9ac4caefb529aec55297cf68c058ed884145f7108bd6f56901f0503d84590d5
BS Fire Emblem: Akaneia Senki Hen (Dai-1-wa: Palace Kanraku) (9-29)@BS ファイアーエムブレム アカネイア戦記編 (第1話 パレス陥落) (9-29),,bsfireemblem,Japan,1997-09-28,Intelligent Systems,Nintendo,#players:1 #genre:rpg>s #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,a919f44e13fb564066e36840136ef42a,f279a35711fe3118234c1c114d2733dd12af88c3,7b21a43dc4c5125f5dc12f3f4b4a691d2e6f9f58181dcdc2fb889c11f1fedc10,5d81bbc195c21910361e1ce67e8970268d200b5e6836e5c2e7649a99ef258c63df39df0cc83701454e3b0c1fb05f0a35fdfa7c790565c0e9fc60c56bc71a6306
BS Fire Emblem: Akaneia Senki Hen (Dai-2-wa: Akai Ryū Kishi)@BS ファイアーエムブレム アカネイア戦記編 (第2話 赤い竜騎士),,bsfireemblem,Japan,1997-10-05,Intelligent Systems,Nintendo,#players:1 #genre:rpg>s #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,204c828dcdefb7abea0a2fc246e23c13,2fe5509dcff4c50d3d355172c31a6906956c6a64,065b0d79f59e7ca1b0bbd32cfdc2f05477f4201db701dafc14589612a0afa43c,474d1df2440d8a0cefdcc696cef0c92ea51a922b7a0e629539bed93ec5e3b54b9f08d508e71523fa0df5f380f5d21a6d5ec293e6c5cb133f2b98c9a7e67eea78
BS Fire Emblem: Akaneia Senki Hen (Dai-3-wa: Seigi no Tōzokudan)@BS ファイアーエムブレム アカネイア戦記編 (第3話 正義の盗賊団),,bsfireemblem,Japan,1997-10-12,Intelligent Systems,Nintendo,#players:1 #genre:rpg>s #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,91bbc9fd486e37d54c0cb09bae8d65a5,8d45cca2711f43e5877e4a45d9291d2cb774f00a,df95f233f08ac512706ffcc2f37b6ca5ac7b0f6118d866bf32ef3dbedd994fcb,15d3e89afb0937f0856df5e9f3c1fd635e688aa34dd3daa4d2d85943be5c1ee061b74da0458c657b28d342b29caadfd01e7279cc7941db87347dc28a6a121d23
BS Fire Emblem: Akaneia Senki Hen (Dai-4-wa: Hajimari no Toki) (4-28)@BS ファイアーエムブレム アカネイア戦記編 (第4話 始まりのとき) (4-28),,bsfireemblem,Japan,1997-10-19,Intelligent Systems,Nintendo,#players:1 #genre:rpg>s #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,d58b996cb4672bee231e5de5e53d0b68,e02963097da96d80c278513bed6ee49b5e508c99,0412b56da2d3113afc45cd8248e2e1d1f3da9db2804d36a123f48993a23677ac,04b35ca4dc8e6f8cca386b6d28608ea340c6d65a5f97508b4523e3f7d3937bf106145d6311cc5c94e345b50d263d48caf32187aed7c5f5ee053a191875c1a0d8
BS Fire Emblem: Akaneia Senki Hen (Dai-4-wa: Hajimari no Toki) (4-29)@BS ファイアーエムブレム アカネイア戦記編 (第4話 始まりのとき) (4-29),,bsfireemblem,Japan,1997-10-19,Intelligent Systems,Nintendo,#players:1 #genre:rpg>s #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,210b58b71fe979c45490b4ce4f4944de,186b3631067b82f81d2bc23e3080709eaaf3dd2f,0444d19332fe9d631df2fed0f76a1f56ac1ecde746e80e3ca434480f8d0cfc3e,75fe34ca7d28cb8045c0996263c86b45a3203ea7d72c1e7469587e8a0f724d03475b72ab56415bd3aa7f57a9c75c22b8ab9464cedb41ab274d67227f4ad86a07
BS Fūrai no Shiren: Surara o Sukue (Dai-1-shū)@BS 風来のシレン　スララを救え　(第1週),,bsfuurainoshiren,Japan,1996-04-28,Enix,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,,,,
BS Fūrai no Shiren: Surara o Sukue (Dai-2-shū)@BS 風来のシレン　スララを救え　(第2週),,bsfuurainoshiren,Japan,1996-05-05,Enix,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,2a8af53734d57c4ba3b0e409483b75df,dfdd964e323e677fcc3e3807fff8c98ee3aca4b4,f39a1852a9f481d6ea0676bf78bfaf6748d5fbbfb5e3e02c627e855beec1dd86,0ce4969034ef10997e808c2213c18e8c07985ee0e80d48ffc44a03f4016a2263a91c91dff3d0b8f22d05ad2b8e0beb4101390cf93339e1da22630a342fa94049
BS Fūrai no Shiren: Surara o Sukue (Dai-3-shū)@BS 風来のシレン　スララを救え　(第3週),,bsfuurainoshiren,Japan,1996-05-11,Enix,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,,,,
BS Fūrai no Shiren: Surara o Sukue (Dai-4-shū)@BS 風来のシレン　スララを救え　(第4週),,bsfuurainoshiren,Japan,1996-05-19,Enix,Nintendo,#players:1 #genre:rpg>a #addon:online>satellaview #compatibility:superfamicom>soundlink #lang:ja,f72cbcd6d3200f47938b18fad274f56b,a08fb18c3ae0b624653cc8d373e86cfedc1a5bd8,79814f45382a8a8ff112ca3c881f47e138b2c1c9eba65e8023bca9339559ad8d,338f14ef1f448df4c5b43b170ca73e331e07cccb860c5e05ebbb38f2b12c732d6827137d61f3a6ef98c043813543e49f936b5087b79eb577a6079210d1afdfcc
