Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Galactic Pinball,Galactic Pinball@Galactic Pinball ギャラクティック・ピンボール,galacticpinball,Japan,1995-07-21,Intelligent Systems,Nintendo,#players:1 #genre:parlor>pinball #embedded:backup>battery #save:backup #search:3d>stereo #lang:en,85260599fdada2e137053a8647aa0d06,93a25abf4f86e71a49c1c3a470140bb40cb693d6,83471721324e334b7a30b54f78305f31a0a5946b234c57b60e79d9d6912b47f3,6daab14bc96bf58541af2eed8c72f3718a6c36e9f1a69d29cc24fbda235995c0bf27d310bb94780fe028ff77d7771eabfa292ce2993eb3bf3a28007a9da0c0f2
Innsmouth no Yakata@インスマウの館,Innsmouth no Yakata@インスマウの館,innsmouthnoyakata,Japan,1995-10-13,Be Top,I'Max,#players:1 #genre:shooting>fps #save:password #search:3d>stereo #lang:en,1eb964d0eaa3223cfefdcc99a6265c88,37e06e53ce2810e870835c48decdd6c72079bfda,df48db37887c9ef2f30a3a2f486607a8c8633bba5163ea8c3b8e7cf49067ef7d,f0169e94698d45edc5412519c01be589cab15ff8ddbd6a17eeea01bb1f1cd51f14898cffb82e00e7def16a0e8ec47272e6b42ec076611de458d4f82c1c354b19
Jack Bros. no Meiro de Hiihoo!@Jack Bros. ジャック・ブラザースの迷路でヒーホー!,Jack Bros. no Meiro de Hiihoo!@Jack Bros. ジャック・ブラザースの迷路でヒーホー!,jackbrosnomeirodehihoo,Japan,1995-09-29,Atlus,Atlus,#players:1 #genre:action>maze #save:password #search:3d>stereo #lang:ja,1b177fe2dd12ec1d67f6a43502f8d391,a973406590382ee503037271330d68d2834b79db,1f7a1f7090e3867778ee2bf575b6983b1d27c1b2c911a04e9e996728ed5f7b30,ae8028f689a12109c741bf693a6e17103ba31a2b322a0750d8a3bea7d11bcba465701e82bd4d428c9940f3c44e45a8643eef2c2d9ec2a8e465480f1a9be41f3b
Mario Clash,Mario Clash@Mario Clash マリオクラッシュ,marioclash,Japan,1995-09-28,Nintendo,Nintendo,#players:1 #genre:action>platformer #search:3d>stereo:feature>mario #lang:en,b1b3a25ce8fb4f406bf82b8765d307d0,7556a778b60490bdb81774bcbaa7413fc84cb985,9f1baa93a805a4fc471860fb7c806bb7ac8c289ded77a78397ef8f964a11a396,c3d5c07ef1e0a6322af898a1e70aaa4a94b201c8b9dd15c56a86d76937929b56691937ff58619683e32df98e3031aed2f08986ba25d92d7ab06692e59aac52fd
Mario's Tennis,Mario's Tennis@マリオズテニス,mariostennis,Japan,1995-07-21,Nintendo/Tose,Nintendo,#players:1 #genre:sports>tennis #search:3d>stereo:feature>mario #lang:en,38ecc2c5a745a80d32eb9e8e413358c4,5162f7fa9e3eae4338c53ccba641ba080c768754,5dc5e6b5d5f538f56b3b9727db1c7931d9dfe1bbd0743f698897e0fd90e70101,e1703dfc5a5bbc0007c7aee1c92a1e82b87a0c18b6e75b018288989da76f0fa0f1d31509b9f090b2553edf74396a04e993e3e62f269d664ca0aa48bd65de0f21
Red Alarm,Red Alarm@Red Alarm レッドアラーム,redalarm,Japan,1995-07-21,T&E Soft,T&E Soft,#players:1 #genre:shooting>rail #search:3d>stereo #lang:en,bc469bf797f4774bbb1678c7f500853b,f5057fa9bfd9d60b9dcfc004cfdd12aa8eb1cb4a,52a215853f5f7a354376fb4c4ea4ac458a8c1d4472aa06fe1efdd924afdd5211,6cd9c872e3c8f5b12f1f54e08cb8abeac1cdcce4435ce0c241d64990708d564e850517302e3af57337fcec6e6d2f39e7ac44b57f8057f7fc2e63f3eea8752b25
SD Gundam: Dimension War,SD Gundam: Dimension War@SDガムダム Dimension War ディメンション　ウォー,sdgundamdimensionwar,Japan,1995-12-22,Locomotive,Bandai,#players:1 #genre:rpg>s #embedded:backup>battery #save:backup #search:3d>stereo #based:manganime #search:feature>gundam #lang:ja,1cf8c69d8a740d6ef3aab54deced31c4,1a67f6bdb45db46e22b8aadea754a68ad379ae29,98d210dcbd1c5d836aa5bbf018eb26e971711b69b4423187bbb72178d5da9a92,0a84796dc99a3335183ba0fa720170ae009f030170a2d860c89081a17721d921d1a4863c8844039452aeb727f94a40ac28ead89c08b416ffd9201829688dcbd6
Space Invaders: Virtual Collection,Space Invaders: Virtual Collection@Space Invaders: Virtual Collection スペース　インベーダー バーチャル　コレクション,spaceinvaders,Japan,1995-12-01,Taito,Taito,#players:1 #genre:shmup #search:3d>stereo #multigame:compilation #port:arcade #lang:ja,7607f6f918615263512b17e56797c9aa,16ad904faafd24642dfd056d10a768e81f0d9bfa,d1cc03dc75c9778f9dc621253d8af7161e5d6a826569574b2be1adef7cc24732,0a1ad52d6bcb335f3b1a2376f47a84df0c2512fa0adb3c34b0f447d0c0b29a3d271dc1a8edf3362d65a5b39b1260140dbc1b0f9533ac1c406431cc3d1195a57b
Space Squash,Space Squash@Space Squash スペース　スカッシュ,spacesquash,Japan,1995-09-29,Tomcat System,Cononuts,#players:1 #genre:sports>squash #search:3d>stereo #lang:ja,09c5f3143c25d1d30a3470e571653e48,3f08cae2b6f9e386529949ff954220860db1af64,7f6111f53730aa72ebcdc3883f323163cf6daae320692f9021f24d8ea76282ee,d212af0a644fc9b831b7446c84c8f2bf4c94c843fdc494948b49bc7dca53a6288de17d640fac243a621fcf6afa017eaf420aec0b314f5a6ce81ea5ce8f4fe708
T&E Virtual Golf,T&E Virtual Golf@T&E ヴァーチャル　ゴルフ,tandevirtualgolf,Japan,1995-08-11,T&E Soft,T&E Soft,#players:1 #genre:sports>golf #search:3d>stereo #lang:ja,c1dc0852af217146f93d701e1da233d4,c595285d42c69f14b2b418c1edfbe4a7f9a624b6,3a9ec2ffebe507a38e4f4e47f6aa27c524f20fc722281e8b303c31f657de49cc,5ca4f909e02a3f836a756c12b9b1adc8885f827e72f0e18f664a22aa90b0c2b834d2e40c08d6d35480105fe35c7401e5bca43f9a875e20027409066212bd760d
Teleroboxer,Teleroboxer@Teleroboxer テレロボクサー,teleroboxer,Japan,1995-07-21,Nintendo,Nintendo,#players:1 #genre:fighting #embedded:backup>battery #save:backup #search:3d>stereo #lang:en,0742a861a599fe3361aac6ebef6745a7,c59e020f9674774c5cbc022317ebba0eb1d744f7,5bfdc99d6b5bdf32daf3c87e310aa078d6d51c733b02bbbf4042222578b60a36,206a338f0b51db07d4871c33013b694a44b6362897a23a3093b46651305170f6c998374cd7225a88ee2678ad67c3e87636594803e791cb25e7072968e74c829b
