Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
3D Museum,3D Museum,3dmuseum,Japan,1994-02-25,Multimedia Creators Network,Pioneer,#players:1 #genre:notagame>media>slideshow #addon:expansion>megald:glasses>3dgoggle:rss #search:3d>stereo #lang:en
3D Museum,3D Museum,3dmuseum,Japan,1994-06-25,Multimedia Creators Network,Pioneer,#players:1 #genre:notagame>media>slideshow #addon:expansion>ldromrom:glasses>3dgoggle:rss #search:3d>stereo #lang:en
3D Virtual Australia,3D Virtual Australia,3dvirtualaustralia,Japan,1995-03-11,JP Multimedia,Pioneer,#players:1 #genre:multimedia:notagame>educational #addon:expansion>megald:glasses>3dgoggle #search:3d>stereo #lang:ja
Akuma no Shinpan@悪魔の審判,Akuma no Shinpan: Konseiki Saigo no Shinri Game@悪魔の審判 今世紀最後の心理ゲーム,akumanoshinpan,Japan,1993-08-20,Planet,Planet,#players:1 #genre:quiz #addon:expansion>ldromrom #search:keyword>endorsed #lang:ja
Angel Mate,Angel Mate,angelmate,Japan,1993-10-25,Planet,Planet,#players:1 #genre:board>cards #addon:expansion>ldromrom #search:keyword>strip #search:keyword>endorsed #lang:ja
Back to the Edo@Back to the 江戸,Back to the Edo@Back to the 江戸,backtotheedo,Japan,1994-12-22,JP Multimedia,Pioneer,#players:1 #genre:quiz #addon:expansion>megald #lang:ja
Bi Ryojon Collection: Watanabe Minayo Shashinshū@美リュージョンコレクション 渡辺美奈代写真集 Minayo Watanabe,Bi Ryojon Collection: Watanabe Minayo@美リュージョンコレクション 渡辺美奈代 Minayo Watanabe,biryojoncollectionwatanabeminayo,Japan,1995-02-25,WiZ,Planet,#players:1 #genre:notagame>slideshow #addon:expansion>megald #search:keyword>endorsed #save:backup #lang:ja
Bi Ryojon Collection: Watanabe Minayo Shashinshū@美リュージョンコレクション 渡辺美奈代写真集 Minayo Watanabe,Bi Ryojon Collection: Watanabe Minayo@美リュージョンコレクション 渡辺美奈代 Minayo Watanabe,biryojoncollectionwatanabeminayo,Japan,1994-10-25,WiZ,Planet,#players:1 #genre:notagame>slideshow #addon:expansion>ldromrom #search:keyword>endorsed #save:backup #lang:ja
Bi Ryojon Collection Vol. 2: Sakaki Yūko Shashinshū@美リュージョンコレクション 坂木優子写真集 Yuko Sakaki,Bi Ryojon Collection: Sakaki Yūko@美リュージョンコレクション 坂木優子 Yuko Sakaki,biryojoncollectionsakakiyuuko,Japan,1995-04-25,WiZ,Planet,#players:1 #genre:notagame>slideshow #addon:expansion>megald #save:backup #search:keyword>endorsed #lang:ja
Bi Ryojon Collection Vol. 2: Sakaki Yūko Shashinshū@美リュージョンコレクション 坂木優子写真集 Yuko Sakaki,Bi Ryojon Collection: Sakaki Yūko@美リュージョンコレクション 坂木優子 Yuko Sakaki,biryojoncollectionsakakiyuuko,Japan,1994-11-25,WiZ,Planet,#players:1 #genre:notagame>slideshow #addon:expansion>ldromrom #save:backup #search:keyword>endorsed #lang:ja
Don Quixote,Don Quixote: A Dream in Seven Crystals,donquixoteadreaminsevencrystals,Japan,1994-12-22,PiC/Easy Computer System/Tokyo Movie Shinsha,PiC,#players:1 #genre:rpg>dungeoncrawler #addon:expansion>megald #save:backup #based #lang:ja
DoraDora Paradise@ドラドラパラダイス DoraDora Paradise,DoraDora Paradise@ドラドラパラダイス DoraDora Paradise,doradoraparadise,Japan,1994-03-25,WiZ,Planet,players:1 #genre:board>mahjong #addon:expansion>ldromrom #save:backup #search:keyword>strip #search:keyword>endorsed #lang:ja
Dr. Paolo no Totteoki Video@Dr.パウロのとっておきビデオ,Dr. Paolo no Totteoki Video@Dr.パウロのとっておきビデオ,drpaolonototteokivideo,Japan,1994-10-25,Infiniti/JP Multimedia,DryIce,#players:1 #genre:adventure>pointandclick:notagame>media #addon:expansion>megald:glasses>3dgoggle #search:3d>stereo #lang:ja
Ghost Rush!,Ghost Rush!,ghostrush,Japan,1994-12-03,Den'no Shokai,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>megald #save:backup #lang:ja:en
Goku,Goku,goku,Japan,1995-06-15,Multimedia Creators Network,Pioneer,#players:1 #genre:notagame>educational:puzzle #addon:expansion>megald:glasses>3dgoggle #search:3d>stereo:rss #save:backup #lang:ja
Goku,Goku,goku,Japan,1995-10-20,Multimedia Creators Network,Pioneer,#players:1 #genre:notagame>educational:puzzle #addon:expansion>ldromrom:glasses>3dgoggle #search:3d>stereo:rss #save:backup #lang:ja
Hi-Roller Battle,Hi-Roller Battle,hirollerbattle,Japan,1993-12-20,CRC Research institute/Q-tec/A&L/Sound M's,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>megald #lang:ja:en
Hyperion,Hyperion@Space Shooting Game Hyperion,hyperion,Japan,1994-05-27,HighTech Lab,Taito,#players:2:coop #genre:shooting>gallery #addon:expansion>megald:rss #lang:en
I Will: The Story of London,I Will: The Story of London,iwillthestoryoflondon,Japan,1993-08-20,CRC Research Institute,Pioneer,#players:1 #genre:notagame>educational>media:adventure>pointandclick #addon:expansion>megald #save:backup #lang:ja:en
J. B. Harold: Blue Chicago Blues,J. B. Harold: Blue Chicago Blues,bluechicagoblues,Japan,1995-04-15,Riverhill,Riverhill,#players:1 #genre:adventure>visualnovel #addon:expansion>megald #save:backup #lang:ja:en
J. B. Harold: Blue Chicago Blues,J. B. Harold: Blue Chicago Blues,bluechicagoblues,Japan,1994-12-20,Riverhill,NEC,#players:1 #genre:adventure>visualnovel #addon:expansion>megald #save:backup #lang:ja:en
LaserActive New Disc Express vol.1,LA Express Vol.1,laseractivenewdiscexpress1,Japan,,Pioneer,Pioneer,#players:1 #genre:notagame #lang:ja
Manhattan Requiem,Manhattan Requiem,manhattanrequiem,Japan,1993-10-25,Riverhill,Riverhill,#players:1 #genre:adventure>visualnovel #addon:expansion>ldromrom #save:backup #port:nec>pc88 #lang:ja:en
Melon Brains,Melon Brains: Exploring The Mind Of The Dolphin,melonbrains,Japan,1994-09-20,Multimedia Creators Network/Studio Garage,Pionner,#players:1 #genre:notagame>educational>media #addon:expansion>megald:glasses>3dgoggle:rss #search:3d>stereo #lang:ja:en
Melon Brains,Melon Brains: Exploring The Mind Of The Dolphin,melonbrains,Japan,1994-12-15,Multimedia Creators Network/Studio Garage,Pionner,#players:1 #genre:notagame>educational>media #addon:expansion>ldromrom:glasses>3dgoggle:rss #search:3d>stereo #lang:ja:en
Pyramid Patrol,Pyramid Patrol,pyramidpatrol,Japan,1993-08-20,HighTec Lab/C-lab,Taito,#players:1 #genre:shooting>gallery #addon:expansion>megald:rss #port:arcade #lang:en
Quiz Econosaurus,Quiz Econosaurus: Econosaurus Kankyō Quiz@Quiz Econosaurus エコノザウルス環境クイズ,quizeconosaurus,Japan,1993-08-20,Hudson,Hudson,#players:1 #genre:quiz:notagame>educational #addon:expansion>ldromrom #save:backup #search:keyword>endorsed #lang:ja:en
Road Blaster,Road Blaster,roadblaster,Japan,1995-01-25,Wolf Team,Data East,#players:2:coop #genre:action:shooting>gallery:racing #addon:expansion>megald #port:arcade #lang:en
Rocket Coaster,Rocket Coaster,rocketcoaster,Japan,1993-12-20,HighTech Lab,Taito,#players:1 #genre:racing #addon:expansion>megald:rss #port:arcade #lang:en
Space Berserker,Space Berserker,spaceberserker,Japan,1994-02-25,Den'no Shokai/Virtual East/Plus One/Data Builder/Noise,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>megald:rss #lang:ja:en
The Great Pyramid,The Great Pyramid,thegreatpyramid,Japan,1993-08-20,CRC Research Institute,Pioneer,#players:1 #genre:notagame>educational>media #addon:expansion>megald #lang:ja:en
Time Gal,Time Gal,timegal,Japan,1995-03-25,HighTech Lab,Taito,#players:2:alt #genre:action #addon:expansion>megald #port:arcade #lang:ja
Triad Stone,Triad Stone@Triad Stone トライアッドストーン,triadstone,Japan,1994-03-25,Seraphic,SEGA,#players:1 #genre:action #addon:expansion>megald #port:arcade #lang:ja:en
Vajra@वज्र Vajra,Vajra@वज्र Vajra,vajra,Japan,1993-10-25,Data West,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>ldromrom #lang:en
Vajra Ni@वज्र Vajra 弐,Vajra Ni@Vajra 弐,vajrani,Japan,1994-10-31,Data West,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>ldromrom:glasses>3dgoggle:rss #search:3d>stereo #lang:en
Virtual Cameraman,Virtual Cameraman,virtualcameraman,Japan,1993-12-10,Transpegasus,Planet,#players:1 #genre:notagame>slideshow>media #addon:expansion>megald:backup>backupramcart #save:backup #search:keyword>endorsed #lang:ja
Virtual Cameraman 2@Virtual Cameraman 2 タイ・プーケット ナンパ編,Virtual Cameraman 2@Virtual Cameraman 2 タイ・プーケット ナンパ編,virtualcameraman2,Japan,1994-04-15,Transpegasus,Planet,#players:1 #genre:notagame>slideshow>media #addon:expansion>megald:backup>backupramcart:glasses>3dgoggle #search:3d>stereo #save:backup #search:keyword>endorsed #lang:ja
Zapping: Satsui@ザッピング 「殺意」,Zapping: Satsui@ザッピング 「殺意」,zappingsatsui,Japan,1994-08-25,JP Multimedia,Pioneer,#players:1 #genre:adventure:notagame>media #addon:expansion>megald #save:backup #based #lang:ja
Zapping: Satsui@ザッピング 「殺意」,Zapping: Satsui@ザッピング 「殺意」,zappingsatsui,Japan,1994-06-10,JP Multimedia,Pioneer,#players:1 #genre:adventure:notagame>media #addon:expansion>ldromrom #save:backup #based #lang:ja
3D Museum,3D Museum,3dmuseum,USA,1994,Multimedia Creators Network,Pioneer,#players:1 #genre:notagame>media>slideshow #addon:expansion>megald:glasses>3dgoggle:rss #search:3d>stereo #lang:en
Don Quixote,Don Quixote: A Dream in Seven Crystals,donquixoteadreaminsevencrystals,USA,1995,PiC/Easy Computer System/Tokyo Movie Shinsha,PiC,#players:1 #genre:rpg>dungeoncrawler #addon:expansion>megald #save:backup #based #lang:en
Ghost Rush!,Ghost Rush!,ghostrush,USA,1994-12,Den'no Shokai,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>megald #save:backup #lang:ja:en
Goku,Goku,goku,USA,1995,Multimedia Creators Network,Pioneer,#players:1 #genre:notagame>educational:puzzle #addon:expansion>megald:glasses>3dgoggle #search:3d>stereo:rss #save:backup #lang:en
Hi-Roller Battle,Hi-Roller Battle,hirollerbattle,USA,1994-05-26,CRC Research institute/Q-tec/A&L/Sound M's,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>megald #lang:ja:en
Hyperion,Hyperion@Space Shooting Game Hyperion,hyperion,USA,1994-07-13,HighTech Lab,Taito,#players:2:coop #genre:shooting>gallery #addon:expansion>megald:rss #lang:en
I Will: The Story of London,I Will: The Story of London,iwillthestoryoflondon,USA,1993-12-23,CRC Research Institute,Pioneer,#players:1 #genre:notagame>educational>media:adventure>pointandclick #addon:expansion>megald #save:backup #lang:ja:en
J. B. Harold: Blue Chicago Blues,J. B. Harold: Blue Chicago Blues,bluechicagoblues,USA,1995,Riverhill,Riverhill,#players:1 #genre:adventure>visualnovel #addon:expansion>megald #save:backup #lang:ja:en
Melon Brains,Melon Brains: Exploring The Mind Of The Dolphin,melonbrains,USA,1994-11-23,Multimedia Creators Network/Studio Garage,Pionner,#players:1 #genre:notagame>educational>media #addon:expansion>ldromrom:glasses>3dgoggle:rss #search:3d>stereo #lang:ja:en
Pyramid Patrol,Pyramid Patrol,pyramidpatrol,USA,1993-12-23,HighTec Lab/C-lab,Taito,#players:1 #genre:shooting>gallery #addon:expansion>megald:rss #port:arcade #lang:en
Road Prosecutor,Road Prosecutor,roadblaster,USA,1995,Wolf Team,Data East,#players:2:coop #genre:action:shooting>gallery:racing #addon:expansion>megald #port:arcade #lang:en
Rocket Coaster,Rocket Coaster,rocketcoaster,USA,1994-05-26,HighTech Lab,Taito,#players:1 #genre:racing #addon:expansion>megald:rss #port:arcade #lang:en
Space Berserker,Space Berserker,spaceberserker,USA,1993,Den'no Shokai/Virtual East/Plus One/Data Builder/Noise,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>megald:rss #lang:ja:en
The Great Pyramid,The Great Pyramid,thegreatpyramid,USA,1993-12-23,CRC Research Institute,Pioneer,#players:1 #genre:notagame>educational>media #addon:expansion>megald #lang:ja:en
Triad Stone,Triad Stone,triadstone,USA,1994-05-31,Seraphic,SEGA,#players:1 #genre:action #addon:expansion>megald #port:arcade #lang:ja:en
Pyramid Patrol,Pyramid Patrol,pyramidpatrol,Japan,1993,HighTec Lab/C-lab,Taito,#players:1 #genre:shooting>gallery #addon:expansion>megald:rss #port:arcade #lang:en #unfinished:demo
Rocket Coaster,Rocket Coaster,rocketcoaster,Japan,,HighTech Lab,Taito,#players:1 #genre:racing #addon:expansion>megald:rss #port:arcade #lang:en #unfinished:demo
3D Museum,3D Museum,3dmuseum,Japan,,Multimedia Creators Network,Pioneer,#players:1 #genre:notagame>media>slideshow #addon:expansion>megald:glasses>3dgoggle:rss #search:3d>stereo #lang:en
Back to the Edo@Back to the 江戸,Back to the Edo@Back to the 江戸,backtotheedo,Japan,1994-12-22,JP Multimedia,Pioneer,#players:1 #genre:quiz #addon:expansion>megald #lang:ja #unfinished:sample
Don Quixote,Don Quixote: A Dream in Seven Crystals,donquixoteadreaminsevencrystals,Japan,,PiC/Easy Computer System/Tokyo Movie Shinsha,PiC,#players:1 #genre:rpg>dungeoncrawler #addon:expansion>megald #save:backup #based #lang:ja #unfinished:sample
Dr. Paolo no Totteoki Video@Dr.パウロのとっておきビデオ,Dr. Paolo no Totteoki Video@Dr.パウロのとっておきビデオ,drpaolonototteokivideo,Japan,,Infiniti/JP Multimedia,DryIce,#players:1 #genre:adventure>pointandclick:notagame>media #addon:expansion>megald:glasses>3dgoggle #search:3d>stereo #lang:ja #unfinished:sample
Ghost Rush!,Ghost Rush!,ghostrush,Japan,,Den'no Shokai,Pioneer,#players:1 #genre:shooting>gallery #addon:expansion>megald #save:backup #lang:ja:en #unfinished:sample
Goku,Goku,goku,Japan,,Multimedia Creators Network,Pioneer,#players:1 #genre:notagame>educational:puzzle #addon:expansion>megald:glasses>3dgoggle #search:3d>stereo:rss #save:backup #lang:ja #unfinished:sample
Hyperion,Hyperion@Space Shooting Game Hyperion,hyperion,Japan,,HighTech Lab,Taito,#players:2:coop #genre:shooting>gallery #addon:expansion>megald:rss #lang:en #unfinished:sample
Hyperion,Hyperion@Space Shooting Game Hyperion,hyperion,USA,,HighTech Lab,Taito,#players:2:coop #genre:shooting>gallery #addon:expansion>megald:rss #lang:en #unfinished:sample
J. B. Harold: Blue Chicago Blues,J. B. Harold: Blue Chicago Blues,bluechicagoblues,Japan,,Riverhill,NEC,#players:1 #genre:adventure>visualnovel #addon:expansion>megald #save:backup #lang:ja:en #unfinished:sample
Melon Brains,Melon Brains: Exploring The Mind Of The Dolphin,melonbrains,Japan,,Multimedia Creators Network/Studio Garage,Pionner,#players:1 #genre:notagame>educational>media #addon:expansion>megald:glasses>3dgoggle:rss #search:3d>stereo #lang:ja:en #unfinished:sample
