Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Aa Harimanada@ああ播磨灘,Aa Harimanada@ああ播磨灘,aaharimanada,Japan,1993-07-02,Megasoft,SEGA,#players:1 #genre:fighting:sports>sumo #based:manganime #lang:ja,da0523e29f893fb81e5f2e89b2fb240a,0fa7111fcd98670d4bef725d11e670e14eaaa7eb,c5da701be6f8d4ee3bac9d48335d37ae913ea6ca9a303770ed5fee0160f8b221,3829beb606c330cdc6772db1399e696ca32653c8ecbefc0441a7a0372a9ad2f02e2ca0ce1f7b4f2d6d5607cf1edde7173454811c2b8f51927f85261ee9b16cf9 
Aerial Assault,Aerial Assault@Aerial Assault エアリアル アサルト,aerialassault,Japan,1992-06-05,Shimada Kikaku,SEGA,#players:2:coop #genre:shmup>h #addon:link>taisencable #lang:en,b6fb54e60f8992daaa35e98a712ff2cb,cbdbaaeb62a8483d9d5a8757b0f19233dfb9b416,e81f63b81596d539d3f601a4796bec238a5788a843f7caba96c4db81d9c2cd73,0886f3f9406d8c0948c71bc722f6bee2766de7e73df9c48e434ed87e57bd9734187c13bda52849078a2c390632543bdaf1ed7e61a7c6fd9796461c997a6253e1
Aladdin@Disney's Aladdin,Aladdin@Disney's Aladdin アラジン,aladdin8bit,Japan,1994-03-25,SIMS,SEGA,#players:1 #genre:action>platformer #based:movie:disney #lang:ja,258abbcd90fe78e19c53c39ce9150106,7ddfd53e91d8220e4238d3994921bf18fe383717,5b9965a30336afdde1df796f85119a81f912e557c73769643b0651af09a58fef,c6b6e017a5536e825b78b008d4bf32a83136110d2c5e44c2802fe3598c13cd2b1706332ab5352cff42de63e4506b67f9bd491c8d3a276e085d62be679b36551c
Alien³,Alien³@エイリアン³ Alien³,alien3,Japan,1994-05-27,Probe,Acclaim,#players:1 #genre:action #based:movie #search:feature>alien #port:sega>megadrive #lang:en,25decd5633847246b38fb9188496d2c8,f09885d76ea7af75fb605261a08143d3ccdc4ca8,c7501cafb0e84228fe1a5a63ba8b365cef374a57b53d46c282ae56c0803a988b,11d2c7def2ad876697b68f792b6f3ac02f480726b7cf8f5cc3a0501f8d7b2bd326a155b37079e400639b0b19b1cfbbe0712fbe800738a6e3b9e0def49402b045
Alien Syndrome,Alien Syndrome,aliensyndrome,Japan,1992-03-19,SIMS,SIMS,#players:1 #genre:action>runandgun #port:arcade #lang:en,df495096e2d7ff9e2c13945e2a2bacba,b72e54493bfa7f13883a608bcf8c9f315dd490ca,2ccac0ba78ce294a28c041e1e2ce1555093160150df0bb5ba8b2c411601e8491,b6ce2f1fa3d8c09edb0354ae585ce04576ffb3d38d60ab504542a7d48f12dd0681b339ce15bb3b7872ffb6e5be4f1963bf85a530e30a21438cda3f09b5162cb9
Arliel,Arliel: Crystal Densetsu@Arliel アーリエル クリスタル伝説,arlielcrystaldensetsu,Japan,1991-12-13,SEGA CS2,SEGA,#players:2:vs #genre:rpg>s #addon:link>taisencable #embedded:backup>battery #save:backup #lang:ja,45e0159738cbbaaf9f2ef7cc2ad02fcd,75a04fa483fccd12a52aa18e494d542f4486577f,368612791b6f0a6caf90ff0da5f812ade543aedf6b12f61fba72a17293bb6442,9d64d0011a61295ebd19ef83bd1cf6e76e13d57267047e0a1b4131ca39780a174073ad21eaa2e90f62e20fb0d340146aa24def5b60e341e44a4ee39b530458e2
Ax Battler: A Legend of Golden Axe,Ax Battler: Golden Axe Densetsu@Ax Battler: A Legend of Golden Axe アックス=バトラー ゴールデンアックス伝説,axbattleraloga,Japan,1991-11-01,Aspect/SEGA CS2,SEGA,#players:1 #genre:rpg>a #embedded:backup>battery #save:backup #lang:ja,2aa1025039e174f7e5168ce09cde3113,ff7931d3461c69ffc3a82d892ae3bb3bb00788b3,61a3d03a2de09a25a8988ca7d95c57d91da5088d1710abf409b1339c24072e7d,e144068dc1413f44edf234994247a100c742f26c7d72d11fe5c4e9d1d15002797a610335d3ba45d8b9c8daf361d3a80f31d1d51c2a03932a733ab61274c706b5
Ayrton Senna's Super Monaco GP II,Ayrton Senna's Super Monaco GP II@Ayrton Senna's Super Monaco GP II アイルトン・セナ スーパーモナコGPII,supermonacogp2,Japan,1992-08-28,SEGA CS2/Arc System Works,SEGA,#players:2:vs #genre:racing:sports>formula1 #addon:link>taisencable #search:keyword>endorsed #lang:ja,2fb31a42d550a5c9006956f208db4866,44f2c2bfa6ab57c1fd533996a5e404ebaa07264b,070280c08ef73ca994c6c44910eef2768de437504378e586dd5f4133f8afd68a,7cddbfd50a338320252854404c161a45eca198a0e7be03886a3948d5290f6a4301ae17f10ccb195e1ee42e7d2ef31b9682ec7a43c1f3641ed8c24bde3c3bd174
Ayrton Senna's Super Monaco GP II,Ayrton Senna's Super Monaco GP II@Ayrton Senna's Super Monaco GP II アイルトン・セナ スーパーモナコGPII,supermonacogp2,Japan,1993-12-10,SEGA CS2/Arc System Works,SEGA,#players:2:vs #genre:racing:sports>formula1 #addon:link>taisencable #search:keyword>endorsed #reboxed:meisaku #lang:ja,2fb31a42d550a5c9006956f208db4866,44f2c2bfa6ab57c1fd533996a5e404ebaa07264b,070280c08ef73ca994c6c44910eef2768de437504378e586dd5f4133f8afd68a,7cddbfd50a338320252854404c161a45eca198a0e7be03886a3948d5290f6a4301ae17f10ccb195e1ee42e7d2ef31b9682ec7a43c1f3641ed8c24bde3c3bd174
Baku Baku Animal@ばくばくアニマル,Baku Baku Animal: Sekai Shiikugakari Senshuken@ばくばくアニマル 世界飼育係選手権,bakubakuanimal,Japan,1996-01-26,Minato Giken,SEGA,#players:2:vs #genre:puzzle>drop #addon:link>taisencable #port:arcade #lang:ja,55b9b96f12e1786dc293a1c45768f013,270e071342adb41406568e171df4959656ed02bf,aff97c11ef01eb89b46e90611d74736d020dbcc74107cd7c10803dbfbc76e442,9c73277c4867b7cfb7d2a7a5086e6045f2e79a273b3ad92badc6783a00885e747e49faa061c8f190327e0bfd200f0fea008c598cf5402e7aee6ac2b9d3823b76
Bare Knuckle,Bare Knuckle@Bare Knuckle ベア・ナックル,bareknuckle,Japan,1992-11-27,Japan System House/Ancient,SEGA,#players:2:coop #genre:brawler #addon:link>taisencable #port:sega>megadrive #lang:en,1ece7480d21fb862a65233ba126282d3,ca8c8a00ee838e994b2fa17e595ddd40d898cf42,10e871fc673f4f54b53fd17d3f1117e68cdf5de41a5041aa474bacbe96686f79,e1a1d016bdca6b0553b569aaf259aad4693f6db04dc523f3dec8ed2b5b8d25c45de2321cb25d66b2fede760402d09359048a28166fd6fc3b8dd23aa450510707
Bare Knuckle II,Bare Knuckle II@Bare Knuckle II ベア・ナックルII,bareknuckle2,Japan,1993-07-23,Japan System House/M.N.M/Yuzo Koshiro,SEGA,#players:2:coop #genre:brawler #addon:link>taisencable #port:sega>megadrive #lang:en,5566e332f860dc0f9da1507fd7feb1cd,2804b355347bda6e2903078ba30ed6b3a289ebba,43d27a0d5f823c0fc7390d5c18205a2f73add2645a482bc8fd6d495af503be1c,b340f68171f6cb5bb208f3b951d730ae2284ebf7693149ebc20884fef2560cac040ed49af34101329d4d7ed97a496545c48dd570f61fedab8d5633d311353584
Batman Forever,Batman Forever@バットマン フォーエヴァー,batmanforever,Japan,1995-10-27,Probe/Black Team,Acclaim,#players:1 #genre:action>hackandslash #based:movie #search:feature>batman #lang:en,6e8f14a7ab173cac90317d390ff8d63b,775ecf7ba87345c2f89f0e9d6e55544db8878786,f44d7181b86cff4f4b36087c75221d4989a1273fd44561f3631ae924707f99d7,5eee421ad462a393fad1481eec0f05284aa4d816368b575de9b41f5943b4e6409b3c7f38608e0bc6b3d9bcf796bdc6393b432ef571c7ced399fdd9b30fa74527
