Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
3 Ninjas Kick Back,3 Ninjas Kick Back / Hook,3ninjaskickback,USA,1994,Malibu,Sony Imagesoft,#players:2:alt #genre:action:platformer #addon:megacd #port:megadrive #based:movie #multigame:compilation #lang:en
A-Rank Thunder: Tanjō-hen@A-Rank サンダー　誕生編,A-Rank Thunder: Tanjō-hen@A-Rank サンダー　誕生編,arankthundertanjouhen,Japan,1993-06-25,Telenet,Riot,#players:1 #genre:adventure:rpg #addon:megacd:backupramcart #save:backup #lang:ja
A/X-101,A/X-101,ax101,USA,1994,Genki/Micronet,Absolute,#players:1 #genre:railshooter #addon:megacd #lang:en
After Armageddon Gaiden: Majū Tōshōden Eclipse@アフターハルマゲドン外伝　魔獣闘将伝エクリプス,After Armageddon Gaiden: Majū Tōshōden Eclipse@アフターハルマゲドン外伝　魔獣闘将伝エクリプス,afterarmageddongaidenmajuutoushoudeneclipse,Japan,1994-11-11,Micro Design/Pandora Box,SEGA,#players:1 #genre:rpg>j #addon:megacd:backupramcart #save:backup #lang:ja
After Burner III,After Burner III,afterburner3,Europe,1993-09,CRI,SEGA,#players:1 #genre:railshooter #addon:megacd:6button:xe1ap #port:fmtowns #lang:en
After Burner III,After Burner III@After Burner III アフターバーナーIII,afterburner3,Japan,1992-12-18,CRI,CRI,#players:1 #genre:railshooter #addon:megacd:6button:xe1ap #port:fmtowns #lang:en
After Burner III,After Burner III,afterburner3,USA,1993-05,CRI,SEGA,#players:1 #genre:railshooter #addon:megacd:6button:xe1ap #port:fmtowns #lang:en
AH-3: Thunderstrike,AH-3: Thunderstrike,thunderhawk,USA,1993-11,Core Design,JVC,#players:1 #genre:flightsim:shooting #addon:megacd:backupramcart #save:backup #lang:en
Aisle Lord,Aisle Lord,aislelord,Japan,1992-05-29,Wolf Team,Telenet,#players:1 #genre:dungeoncrawler:rpg #addon:megacd:backupramcart #save:backup #lang:ja
Alshark,Alshark@Alshark アルシャーク,alshark,Japan,1993-11-26,CRC,Sandstorm,#players:1 #genre:rpg>j #addon:megacd:backupramcart #save:backup #port:pc98 #lang:ja
Annett Futatabi: Earnest Evans Series@アネット再び アーネスト・エバンス・シリーズ,Annett Futatabi@アネット再び,annettfutatabi,Japan,1993-03-30,Wolf Team,Wolf Team,#players:1 #genre:brawler #addon:megacd #lang:ja
Aoki Ookami to Shiroki Mejika: Genchō Hishi@蒼き狼と白き牝鹿 元朝秘史,Aoki Ookami to Shiroki Mejika: Genchō Hishi@蒼き狼と白き牝鹿 元朝秘史,aokiookamitoshirokimejikagh,Japan,1993-09-24,Koei,Koei,#players:1 #genre:strategy #addon:megacd:backupramcart #save:backup #port:pc88 #lang:ja
Arcus I・II・III@Arcus アークス I・II・III,Arcus I・II・III@Arcus アークス I・II・III,arcus123,Japan,1993-07-23,Wolf Team,Wolf Team,#players:1 #genre:adventure:dungeoncrawler #addon:megacd:backupramcart #save:backup #port:pc88 #multigame:compilation #lang:ja
Arslān Senki@アルスラーン戦記,Arslān Senki: The Heroic Legend of Arslān@アルスラーン戦記 The Heroic Legend of Arslān,arslansenki,Japan,1993-11-19,BEC/Cube/Layup,SEGA,#players:1 #genre:rpg>s #addon:megacd:backupramcart #save:backup #based:manganime #lang:ja
AX-101,AX-101@AX-101 エーエックス101,ax101,Japan,1994-03-25,Genki/Micronet,SEGA,#players:1 #genre:railshooter #addon:megacd #lang:ja
Bakuden: Unbalance Zone@爆伝 Bakufu-Slump　アンバランスゾーン,Bakuden@爆伝,bakudenunbalancezone,Japan,1994-04-22,Kogado,Sony/Amuse,#players:1 #genre:adventure #addon:megacd:backupramcart #save:backup #lang:ja
Bari-Arm,Android Assault: The Revenge of Bari-Arm,bariarm,USA,1994-10,Human,Big Fun,#players:1 #genre:shmup>h #addon:megacd #lang:en
Bari-Arm,Bari-Arm,bariarm,Japan,1993-07-30,Human,Human,#players:1 #genre:shmup>h #addon:megacd #lang:en
Batman Returns,Batman Returns,batmanreturns,Europe,1993-09,Malibu,SEGA,#players:1 #genre:action:platformer:racing #addon:megacd #port:megadrive #based:movie $batman #lang:en
Batman Returns,Batman Returns,batmanreturns,Europe,,Malibu,SEGA,#players:1 #genre:action:platformer:racing #addon:megacd #port:megadrive #based:movie $batman #lang:en #alt
Batman Returns,Batman Returns,batmanreturns,USA,1993-05-19,Malibu,SEGA,#players:1 #genre:action:platformer:racing #addon:megacd #port:megadrive #based:movie $batman #lang:en
Batman Returns,Batman Returns,batmanreturns,USA,,Malibu,SEGA,#players:1 #genre:action:platformer:racing #addon:megacd #port:megadrive #based:movie $batman #lang:en #alt
Battle Fantasy,Battle Fantasy@Battle Fantasy バトル ファンタジー,battlefantasy,Japan,1994-04-15,Micronet,Micronet,#players:2:vs #genre:fighting #addon:megacd #lang:ja
Battle Frenzy,Battle Frenzy,battlefrenzy,USA,2003,The Kremlin,Good Deal,#players:2:vs #genre:shooter #addon:megacd #port:megadrive #lang:en #unlicensed
Battlecorps,Battlecorps,battlecorps,Europe,1994-08,Core Design,Core Design,#players:1 #genre:shooter #addon:megacd #lang:en:fr:de:es
Battlecorps,Battlecorps,battlecorps,Europe,,Core Design,Core Design,#players:1 #genre:shooter #addon:megacd #lang:en #unfinished:demo
Battlecorps,Battlecorps@Battlecorps バトルコープス,battlecorps,Japan,1994-09-30,Core Design,Victor,#players:1 #genre:shooter #addon:megacd #lang:ja
Battlecorps,Battlecorps,battlecorps,USA,1994-08,Core Design,Core Design,#players:1 #genre:shooter #addon:megacd #lang:en
BattleTech: Gray Death Legion,BattleTech: Gray Death Legion,battletechgraydeathlegion,USA,,Imagineering,Good Deal,#players:1 #genre:shooter #addon:megacd #based #lang:en #unlicensed
BC Racers,BC Racers,bcracers,Europe,1994-12,Core Design,Core Design/SEGA,#players:2:vs #genre:racing>combat #addon:megacd:6button #lang:en:fr:de
BC Racers,BC Racers,bcracers,Europe,,Core Design,Core Design/SEGA,#players:2:vs #genre:racing>combat #addon:megacd:6button #lang:en #unfinished:demo>1
BC Racers,BC Racers,bcracers,Europe,,Core Design,Core Design/SEGA,#players:2:vs #genre:racing>combat #addon:megacd:6button #lang:en #unfinished:demo>2
BC Racers,BC Racers,bcracers,USA,1995-02,Core Design,Core Design/SEGA,#players:2:vs #genre:racing>combat #addon:megacd:6button #lang:en
Bill Walsh College Football,Bill Walsh College Football,billwalshcollegefootball,Europe,1994-03,High Score,Electronic Arts,#players:4:coop:vs #genre:sports>football #addon:megacd:4wayplay #port:megadrive #endorsed:celeb #lang:en
Bill Walsh College Football,Bill Walsh College Football,billwalshcollegefootball,USA,1993-12,High Score,Electronic Arts,#players:4:coop:vs #genre:sports>football #addon:megacd:4wayplay #port:megadrive #endorsed:celeb #lang:en
Black Hole Assault,Black Hole Assault@Black Hole Assault ブラックホールアサルト,blackholeassault,Japan,1992-10-23,Micronet,Micronet,#players:2:vs #genre:fighting #addon:megacd:backupramcart #save:backup #lang:ja
Black Hole Assault,Blackhole Assault,blackholeassault,Europe,1993-09,Micronet,SEGA,#players:2:vs #genre:fighting #addon:megacd:backupramcart #save:backup #lang:en
Black Hole Assault,Blackhole Assault,blackholeassault,USA,1992-11,Micronet,Bignet,#players:2:vs #genre:fighting #addon:megacd:backupramcart #save:backup #lang:en
Black Hole Assault,Blackhole Assault,blackholeassault,USA,,Micronet,Bignet,#players:2:vs #genre:fighting #addon:megacd:backupramcart #save:backup #lang:en #alt
Bloodshot / Battle Frenzy,Bloodshot,battlefrenzy,Europe,1995-06,The Kremlin,Domark,#players:2:vs #genre:shooter #addon:megacd #lang:en:fr:de:es
Bloodshot / Battle Frenzy,Battle Frenzy,battlefrenzy,Germany,1995-06,The Kremlin,Domark,#players:2:vs #genre:shooter #addon:megacd #reboxed #lang:en:fr:de:es
Bouncers,Bouncers,bouncers,USA,1994-12,Dynamix/Sierra,SEGA,#players:2:vs #genre:action:fighting #addon:megacd #lang:en
Bram Stoker's Dracula,Bram Stoker's Dracula,bramstokersdraculacd,USA,1993-11,Psygnosis,Sony Imagesoft,#players:1 #genre:action #addon:megacd #based:movie $dracula #lang:en
Bram Stoker's Dracula,Bram Stoker's Dracula,bramstokersdraculacd,USA,1993-11,Psygnosis,Sony Imagesoft,#players:1 #genre:action #addon:megacd #based:movie $dracula #lang:en #alt:1
Bram Stoker's Dracula,Bram Stoker's Dracula,bramstokersdraculacd,USA,1993-11,Psygnosis,Sony Imagesoft,#players:1 #genre:action #addon:megacd #based:movie $dracula #lang:en #alt:2
Bram Stoker's Dracula,Mary Shelley's Frankenstein / Bram Stoker's Dracula,bramstokersdraculacd,USA,1994,Psygnosis,Sony Imagesoft,#players:1 #genre:action #addon:megacd #based:movie $dracula #lang:en #multigame:compilation #lang:en
Brutal: Paws of Fury,Brutal: Paws of Fury,brutalpawsoffury,Europe,1994-09,GameTek,GameTek,#players:2:vs #genre:fighting #addon:megacd:6button #lang:en:fr:de
Brutal: Paws of Fury,Paws of Fury,brutalpawsoffury,Germany,1994-09,GameTek,GameTek,#players:2:vs #genre:fighting #addon:megacd:6button #reboxed #lang:en:fr:de
Brutal: Paws of Fury,Brutal: Paws of Fury,brutalpawsoffury,USA,1994-11,GameTek,GameTek,#players:2:vs #genre:fighting #addon:megacd:6button #lang:en
