Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
10 Super Jogos,10 Super Jogos,megagames10,Brazil,1997,SEGA/Epyx/Sonic Team,Tec Toy,#players:2:coop:vs #genre:puzzle>drop:platformer:brawler:racing:sports>soccer>formula1 #multigame:compilation $sonic #lang:en,0d1c2d48509985f2d79b0fc3c8fe213a,791a4de13cfe2af4302aac969753d67dd76e89c8,5704029692c5f2c99ab9b5dd9e6d47f4eebb7aad7f6a07a2ca405d56a14e2f6a,25c1bf0a7cef34db1228be91d3d60e1887fd874a7626639f83ac8dd7ccefd7a390e95cdb504fde62b126c3cc08e51c3c1052d5563a779f55a4a375da6e09e58f
16t,16t,16t,Japan,1991,SEGA CS1,SEGA,#players:1 #genre:action:platformer #addon:megamodem:toshokan #lang:en,325965a3a8c6a47ee8efd59e4abfc25f,fd978f7f643311de21de17ed7ed1e7c737b518ee,94cfa6b26980c657db6e63c3e0062bf6186f7610f4b248bdc22299997c2468b4,540be72fad2f233e9a5c98ea086d00c8ebd9f76351d4a21487d8e68bfcdb04aef432791ec0d4262b508c8c3a00aa69ca681be79cbefa6070e3c2da2f7ed654de
16t,16t,16t,Japan,1994-03-18,SEGA CS1,SEGA,#players:1 #genre:action:platformer #addon:megamodem:toshokan #lang:en #rerelease:gamenokanzume>2,0929ff7ef87a64185931166d66e56dc7,4bf91eb3b83af34d979598ce263730525eb6093e,a92162941fb568e306d02e4aa999cc748f2e4e26314ae8928a74e7c591f16bb3,f831ad691c7733f88c90167150093c694d041584273342145b52058b4dcf84cdabea40c756dea7b5fd6acb6f41d9fba1c278bee6ef0e9e95c1f72e739492a16a
16t,16t,16t,Japan,1995-06-01,SEGA CS1,SEGA,#players:1 #genre:action:platformer #addon:segachannel #reboxed:gamenokanzume>o #lang:en,15361874deab5a8c3a7611a81f041131,ff564e8db95697103caca81c45efb29f47e7e7e0,44d8cd5b8355d223f281ce607657e36545f532ae22cba5ef484fefef62953a58,f92db071a900512120385e55ddbaf3f3cf028c684afd9eec994a609ffd9b9245b274d7194dc0727c720ef99caced70c52d143658d832f0122f6da6bd4952669e
3 Ninjas Kick Back,3 Ninjas Kick Back,3ninjaskickback,USA,1994-12,Malibu,Psygnosis/Sony Imagesoft,#players:2:alt #genre:action:platformer #based:movie #lang:en,df666774c0b73e112739b68c8841658b,d634e3f04672b8a01c3a6e13f8722d5cbbc6b900,8cfdc448d06259ade9390aead7b997872f99bf88a89e4b247d8ccb4ce180f70b,45bd6f48ce43cf32e9a696957eeea645c323b50bd58de1b6ed8b06f1cf342e0fd0eb434f32ea500b2ba14777cedbd5d4fbb5086dad9d6ccb84121b062a6cd637
688 Attack Sub,688 Attack Sub,688attacksub,Europe,1991-09,MicroProse,SEGA,#players:1 #genre:sim #port:pc #lang:en,7a43a9b9a1fd951ada76d0baf2f8ff26,6795b9fc9a21167d94a0b4c9c38d4e11214e1ea7,21808f8bb13ed832d5b9318a1bca6b09f5b83532ec78a4a0320161411f7fab72,1854b6fc8b3f4af19e0f9061396aa91f634c34a1aff7aefe3d9961caba4df6b558def25b9cbf375ccb13ff1bcc08a4eb253590cc9cb136c1b6b5208ba049e8f7
688 Attack Sub,688 Attack Sub,688attacksub,USA,1991-07,MicroProse,SEGA,#players:1 #genre:sim #port:pc #lang:en,7a43a9b9a1fd951ada76d0baf2f8ff26,6795b9fc9a21167d94a0b4c9c38d4e11214e1ea7,21808f8bb13ed832d5b9318a1bca6b09f5b83532ec78a4a0320161411f7fab72,1854b6fc8b3f4af19e0f9061396aa91f634c34a1aff7aefe3d9961caba4df6b558def25b9cbf375ccb13ff1bcc08a4eb253590cc9cb136c1b6b5208ba049e8f7
6-Pak,6-Pak,6pak,USA,1995-06,SEGA/Sonic Team,SEGA,#players:2:coop:vs #genre:platformer:brawler:action:puzzle>drop:racing:sports>motogp #multigame:compilation #lang:en,f679801ad655e88e0f5aa0dc679c3b7e,aa276048f010e94020f0c139dcf5829fb9ea6b21,121f7c8be8a4ba1d22d96494835a25973baaacd9ad3f54c1887c4512f994b82e,afa24ee34f6ea709a2fbcd37a767758c9dd386a88387687ad149c36c2b7f6a772e924ea0d84992f3e88460799d55b7a3395b5b064928aa21f1d528f5c86dc624
A Dinosaur's Tale,A Dinosaur's Tale,adinosaurstale,USA,1993-09,Funcom,Hi Tech Expressions,#players:1 #genre:platformer #based:movie #lang:en,122f44df25f3dd6a7f74f0f125905257,b1f8e741399fd2c28dfb1c3340af868d222b1c14,1d1b8dcc3f7c26b58a0929a55d0f137516f1112bb5349c67a3c06163e6b79c3b,8484b88b73c95d8a346404c335266645fb964cc969e407480c052a8c9764a77e5a8ec328d6204be51c5f1618ea6d968c7cf66cf7bc7f9b8d1ed5af8f318f012c
A Ressha de Ikō MD: Take the ‟A” Train@A列車で行こうMD Take the ‟A” Train,A Ressha de Ikō MD@A列車で行こうMD,aresshadeikou3,Japan,1992-04-10,MNM,SEGA,#players:1 #genre:building:trainsim #embed:battery #save:backup #port:pc88 #lang:ja,a4e3e5bd68f166c1ef2aa0baf0f9d7e2,d0d0aaad68978fd15c5857773141ae639de1abc7,212959128b6195029b2a4648bafab60c1fc697f4af2e822d86276109a64b3aa6,b42c1f78edcf0f2a3b3b7ce9fc01ab0036d1611f9695de47cc515225ec912b91b5993437e3882678a064efb6e35ccb96ff430eb6b1fa4c82b0832e5fc9735790
