Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
007 James Bond,007 James Bond,007jamesbond,Japan,1984-12,Tsukuda Original,Tsukuda Original,#players:1 #genre:shmup>h #compatibility:sg1000>othello #based:movie #port:atari>atari2600 #lang:en,b2ac0c7755e0d6ba0a737861ee190a53,88d8c1f56f06ec76be285c29f41322a748f7c4db,da8257722818595c838f07b61c5f5866e5132b41df3af73bcb56baa309238117,c69717c9c36d7479c128ca92e2e642bec9ed049b166c4b03c39dae275f46d504d8f42427a2a80d32490081883a3a985d9d72f36ecfd917832edd0aff4277f268 
007 James Bond,007 James Bond,007jamesbond,Japan,1984-12,Tsukuda Original,Tsukuda Original,#players:1 #genre:shmup>h #compatibility:sg1000>othello #based:movie #port:atari>atari2600 #lang:en #alt,deaa6e9f7bef3a7af55c6e899967bf79,c4c947a00155412c4e8b492e19ac229cc61fb401,97336cc9a1dc58ad0d7fe09795fd536aa56428d2b00f9a5ee2214212fa0aab57,c78cb75cca90ff70c9de03599d115f2481f6b6c0e9f4b499c99e67906b5a2252c3bdda0b73a3de4a5d395ad3e2151f63ceee8ab9c705e66e503e5e6dd1288313
Bank Panic,Bank Panic@バンクパニック,bankpanic,Japan,1985-09,SEGA,SEGA,#players:2:alt #genre:shooting>gallery #compatibility:mark3>mycard #port:arcade #lang:en,47cd2d0bbcb879302f83f2f7058f49d4,8e1dc4d79c5bc45fc6112969ea9a2c68b3c86666,58329089fde366c059676df4043b648b686d05a71960be27f98f38665f0d3bb2,c671cf97d05b7c253ccbac969705ac7d2f27134821f208d39c13ac474b8a2c236b4df04f8667fb95b516d00d96a12b2c47f504c03a6d9e47f1814df36a75ff71
Bomb Jack,Bomb Jack@ボンジャック,bombjack,Japan,1985-12,SEGA,SEGA,#players:2:alt #genre:action>platformer #compatibility:mark3>mycard #port:arcade #lang:en,0bf5b6959fc1b58d8e37f9647f47a0b3,7859b9ee5614c595cb57a832ef7a8f1ab473b45b,76d25a2b3cf5513ab3a288b2b34846b04a1349aa26291785e78e324c860d2103,0e93c856125b697304a17ba8f71bc5f21e7553e5173a2e951f11d053debf70234dc09fa1ebe8ed26853f050a13c2329bb7d261528c424a16aaf844aa9afa421e
Borderline,Borderline@Borderline ボーダーライン,borderline,Japan,1984-03,Compile,SEGA,#players:1 #genre:action>runandgun:action>maze #port:arcade #lang:en,25c742e43bc9f1329f3f26502fefb10a,b967340fa91d960f86548f15e6d25a8e7e2c5043,2b83fb05f43c85897ff1caac28dc41c5a00c8cba08a468981f51df45bb161cd1,613b6fb6d16a52142068a8842eb7bf137a0e6ef00515dc689c66bdb4dddf2e7745b42c9662fcce16aece5cf6631354c57318ea71f2ec7c8d00e096ced24299f2
C_So!,C_So!@C_So! シーソー,cso,Japan,1986-02,Compile,SEGA,#players:1 #genre:action>maze #save:backup #compatibility:mark3>mycard #port:msx #lang:en,d87daad7de33105d703b613052ccc2dd,d45a230b3cbf2d2dcfe7b94691fc7f1a5d747625,431d1418a4cf4a5ad6ab3222c684d2ca48c439c6695eea5eced4c12a900f8669,a5e5fe3d17cf5096204aa291003ce731312adeb9db74456fe699b862195874a97d4b9c8304a15a69296f74ebb6bb104e80297d8a8c90904adc88ad9926471508
Chack'n Pop,Chack'n Pop@チャックン ポップ,chacknpop,Japan,1985-09,SEGA,SEGA,#players:2:alt #genre:action>platformer #compatibility:mark3>mycard #port:arcade #lang:ja,286ba24b335a1600dfc611a0a9fe7875,08b5c1135f9678465ece6a886c948ce091637372,e2d87d9063ea14b0f25a6fce1617aab9c8325f577d8e2a43436f81941d1e7fe0,f34a5b25dd659602c7e23046b2cb4fffb7a4fbd7f095e0bf426ac0a7459ce1ac337534dad662a06bb428e9789c036732117e33092befa061536e50b0c6840765
Challenge Derby@チャレンジダービー,Challenge Derby@チャレンジダービー,challengederby,Japan,1984-06,Tsukuda Original,Tsukuda Original,#players:8:vs #genre:sim>derby #compatibility:sg1000>othello #lang:ja,5fac8915a1c8a84bdfcdbe4611f4652d,8a5e6c9b10c9a99c1eaaee48374d1fede5966340,032eedfb4c145ea129716c899ff24249a86ab6ace4afaa1beaf0f78ef1db58fa,f0e44fc25053372e1e5e55112b7e502ed350b3e67641ece81f84fb8c9609cdf2b1aed1446c6dd142efcda233c72195770388ef4ee39b8a4630ca00ffc433b97c
Challenge Derby@チャレンジダービー,Challenge Derby@チャレンジダービー,challengederby,Japan,,Tsukuda Original,Tsukuda Original,#players:8:vs #genre:sim>derby #compatibility:sg1000>othello #rev:1 #lang:ja,e8698b111a3548088932fd4528316a1d,47239898cc2ad5c4aeae1815dc54de6f87a8aa35,fb76a83dda13fbec84afb016801cd67accc7d397b99c22011dad9572d770ba3b,763421fce70ee8ce1a60330263547df35e5de3a24f1cc572a3946dc9f5dbca79d44e89c5c926cbde3e6e80c2e684b82cf6203863dc6f3cd714c018df1bc6ace9
Challenge Derby@チャレンジダービー,Challenge Derby@チャレンジダービー,challengederby,Japan,,Tsukuda Original,Tsukuda Original,#players:8:vs #genre:sim>derby #compatibility:sg1000>othello #rev:1 #lang:ja #alt,c992629aced299a29d65026178a582d8,6c0ffd66695e8bd4bc503c40ee49834c3f95082b,2a64d8a47931b0cd4b3c18daac3f91120ea022043d8ef4766a7687e37768957b,14b7e6692e02f562697b683c3c3b6d44ba8033cd84a48a8263c8c33068577899cd0caa4257f8a0e88e988d7ec0efba6a156a82f60232a9b57b5bfa6621a8571e
