Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
After Burner Complete,After Burner Complete@After Burner Complete アフターバーナー コンプリート,afterburnercomplete,Japan,1995-01-13,Rutubo,SEGA,#players:1 #genre:shooting>rail #addon:peripheral>super32x:controller>6button>xe1ap #port:arcade #lang:en,ec9529858cc7961b39f5382b2f657b8f,9cf575feb036e2f26e78350154d5eb2fd3825325,5225e4a73a893bd40579b6fedd6f50fe294b06be23b8ab928024498ed6f633f3,d69737118e131651817a83d8628927445ca5b06a0e9fe80508e321ecfaaaee664ae93d0190aef77af810b7eb2994782ea40f4133182e01f77f6e6dea30bc330e
Chaotix,Chaotix Featuring Knuckles The Echidna@Chaotix カオティクス　Featuring　ナックルズ　ザ　エキドゥナ,chaotix,Japan,1995-04-21,SEGA CS3,SEGA,#players:2:coop #genre:action>platformer #addon:peripheral>super32x #embedded:backup>battery #save:backup #lang:en,47b1095e68b053125cd2cd5b1ac4eb50,0c2fff7bc79ed26507c08ac47464c3af19f7ced7,70e1a92a982f2684be3bc315267e545fb9c530d533fd62b6d38bb625541ed957,d36f4b3fed6f34c9d6b762a2ce528c46316e6859cacc3a23270ea8c4992ac378289a04ef3b66aa7c9eac36695b62092016c7e9591d434c0a0cd0d43365b4f141
Cyber Brawl,Cyber Brawl@Cyber Brawl サイバーブロール,cosmiccarnage,Japan,1995-01-27,Almanic/ALU,SEGA,#players:2:vs #genre:fighting #addon:peripheral>super32x:controller>6button #lang:en,32f3002a46a462735aa12ca856cb7652,9a563ed821b483148339561ebd2b876efa58847b,7a4b355ca4dac233a1246e662b274d548f6dd6c0e4bb27a382b6bba42b354d37,160cf134eee35ce5e86183071b21e420b55867c1ee99340452e94380590f790ef492c320229d951fa51531bbdaee94abfbab8f6087318d54b092aad712b707d1
Doom,Doom@Doom ドゥーム,doom,Japan,1994-12-03,SEGA of America/id Software,SEGA,#players:1 #genre:shooting>fps #addon:peripheral>super32x:controller>6button #port:pc #lang:en,79339867d9d4f58b169753d9a29ea1a5,b68e9c7af81853b8f05b8696033dfe4c80327e38,0bfa9a1a9341bca5b68f29e0e94e334d9d2f781f84d02d60f51a8be24f12f11c,10085e31d7e269d8856dc1962c8a8f830582df4b993edef34153dc4e8ee9d8e5f1cf909dcfdf40b17d580b42157653905255009c2fb97f6b2f08d7194edaf536
Golf Magazine: 36 Great Holes Starring Fred Couples,Golf Magazine Presents: 36 Great Holes Starring Fred Couples@Golf Magazine Presents: 36 Great Holes Starring Fred Couples ゴルフマガジン プレゼンツ 36グレートホールス スターリング フレッド・カプルス,36greatholesstarringfredcouples,Japan,1995-02-24,Flashpoint,SEGA,#players:8:vs #genre:sports>golf #addon:peripheral>super32x #embedded:backup>battery #save:backup #search:keyword>endorsed #lang:en,b90a2a1eec015911aa445f9c41d7bc32,dc77b1e5c888c2c4284766915a5020bb14ee681d,1909e6ac8d79424fcb6799abb68ff90d546b228ada0e9d175d1a55442d9489f6,b98f38e15b748516391b621cd6ec1e0535bba6d878f7390b78b15b235eb9ff383a26d98644e8e40bca71fd7fd095366f1d6e04912ecc54dfd9b3a3a58f69b3f6
Metal Head@MH: Metal Head,Metal Head@MH: Metal Head メタルヘッド,metalhead,Japan,1995-02-24,SEGA CS4,SEGA,#players:1 #genre:shooting>fps #addon:peripheral>super32x:controller>6button #lang:en:ja,03cc5d7549d71ba4e9ddc1beae3805fb,4e872fbb44ecb2bd730abd8cc8f32f96b10582c0,950154ccd4d3dc9fdfcdff49d4d9a96021ffa68226f27528d8a6008f2cbc76f9,ac10d5156e47016c5d2e7b4efe7bbd21617c09b6a1522ac99c355009f80e675b0a15ee577caec91dc6b6f08c2cd8bf1e1f82b611a7fe1b19563d2b338422d51c
Mortal Kombat II,Mortal Kombat II: Kyūkyoku Shinken@Mortal Kombat II モータルコンバットII 究極神拳,mortalkombat2,Japan,1995-05-19,Probe,Acclaim,#players:2:vs #genre:fighting #addon:peripheral>super32x:controller>6button #port:arcade #lang:en,a95c0e7c1d35fd42cd2e3eb7b06cb6d0,d55964bd935110ac2d9cbd3b085b7e8b71b11df2,2cb563914f6187f0f97588c46ccb112c7de2194b346a33992f5c69ca7611a65b,6d91406415e4bfea51fc06c3bb06d9ac89f3b70596dfe54bb7eccaabb7d064a203c499759476bf126f0ef20312bc49602b9b463d34c9ccb5e64902b812ec7f16
NBA Jam: Tournament Edition,NBA Jam: Tournament Edition@NBA Jam: T.E. Tournament Edition NBA ジャム トーナメントエディション,nbajamte,Japan,1995-09-01,Iguana/The White Team,Acclaim,#players:4:coop:vs #genre:sports>basketball #addon:peripheral>super32x:multitap>segatap #embedded:eeprom #save:backup #search:keyword>official #port:arcade #lang:en,966a5e00dd7bcdc70b05c5a0c0e8f7aa,c8af3e74c49514669ba6652ec0c81bccf77873b6,7f7e1059671a99405e3782cd9b4e5d4025ee4bb122a89357b95b0fcac512f74f,7e2f4455115e25f01e34a3d7e05122b2217c604609c4dd4808da3b3f03f53fded27d3045881ecc979f8f537a7d730cf95f777fa28f61ffe4cef7fed90dfa9541
NFL Quarterback Club,NFL Quarterback Club@NFL Quarterback Club NFLクォーターバッククラブ'95,nflquarterbackclub95,Japan,1995-02-24,Iguana,Acclaim,#players:5:coop:vs #genre:sports>football #addon:peripheral>super32x:multitap>segatap #embedded:eeprom #save:backup #search:keyword>official #lang:en,e273c10114351cdafeba1abccca8909d,a0dc24f2f3a7fc5bfd12791cf25af7f7888843cf,092ad8896ea7784d2feb7f17b1a348562588a361c50de6ade722a5c5cce698d5,a1e3a733c46f43ea3c3086ccd37273b7cd3c9fafe96d165ecd2c7d3ad30908f700d9c4ff5ca3d8b6fd32bca59adea5910b2ab08c699b7530f8b06a1a06a3f082
Parasquad,Parasquad@Parasquad パラスコード,parasquad,Japan,1995-07-14,CRI,SEGA,#players:2:vs #genre:shmup #addon:peripheral>super32x #lang:en,bd32a5e46d0159dc88cb31ea4bd9d899,60c390f76c394bdd221936c21aecbf98aec49a3d,c53102bfaf47c94cb039183bb2d5e4406ffb1f961afba8f58d03a887ae06c7ec,3f031788e2afcd91491210bcf15d765aa5c875b8256f4e83425e85f2ca15747380a2710f1c1c55ccc91926981cf3ff6e0534731fa27e74edfde1a5442caab0b6
