Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MD5,SHA1,SHA256,SHA512
Bakumatsu Rōman Tokubetsu Hen: Gekka no Kenshi: Tsuki ni Saku Hana‚ Chiri Yuku Hana@幕末浪漫 特別編 月華の剣士 月に咲く華、散りゆく花,Bakumatsu Rōman Tokubetsu Hen: Gekka no Kenshi: Tsuki ni Saku Hana‚ Chiri Yuku Hana@幕末浪漫 特別編 月華の剣士 月に咲く華、散りゆく花,gekkanokenshitnshcyh,Japan,2000-03-13,Saurus/SNK,SNK,#players:2:vs #genre:fighting #addon:link>ngplink #save:backup #compatibility:neogeopocket>color,d485fcdef8f9f4fb0de39849334aca66,cf94cd3812a8905432ecba30ed874be97efc792e,1cc826db8cfb3c5a3d4de3323ce29f73ac152c7919bed1098e9233a8d93b6a9d,9625e7694292f847ad95ba4b6a28ad7065981c8d2c67774559d1017824b4d2508c9525ab8a99617125dffb7c4c062231ad931bcb8941e934bb5b1bc61ddea81b
Bakumatsu Rōman Tokubetsu Hen: Gekka no Kenshi: Tsuki ni Saku Hana‚ Chiri Yuku Hana@幕末浪漫 特別編 月華の剣士 月に咲く華、散りゆく花,Bakumatsu Rōman Tokubetsu Hen: Gekka no Kenshi: Tsuki ni Saku Hana‚ Chiri Yuku Hana@幕末浪漫 特別編 月華の剣士 月に咲く華、散りゆく花,gekkanokenshitnshcyh,Japan,2001-08-02,Saurus/SNK,SNK,#players:2:vs #genre:fighting #addon:link>ngplink #save:backup #compatibility:neogeopocket>color #reboxed:snkbestcollection,d485fcdef8f9f4fb0de39849334aca66,cf94cd3812a8905432ecba30ed874be97efc792e,1cc826db8cfb3c5a3d4de3323ce29f73ac152c7919bed1098e9233a8d93b6a9d,9625e7694292f847ad95ba4b6a28ad7065981c8d2c67774559d1017824b4d2508c9525ab8a99617125dffb7c4c062231ad931bcb8941e934bb5b1bc61ddea81b
Baseball Stars: Pocket Sports Series,Baseball Stars: Pocket Sports Series ベースボールスターズ ポケットスポーツシリーズ,baseballstars,Japan,1998-10-28,Saurus/SNK,SNK,#players:2:vs #genre:sports>baseball #addon:link>ngplink #save:backup #compatibility:neogeopocket>mono #lang:ja,68ee2d5be4c81348bc499fc29819fd2d,d5a53c1b18626909b58fc73740d8c566357a7812,5f03b0289f7ba60feaf747c4db28974e058614dcfa060bbed5472cbd3aff4d1d,bdf1f085bf3a1646a5d8162d7fed9c7f4c23cb142f66ebbdbb0c18de96c4f80705afbde5fd545d1eb9392ea73a897a51dfb95c1d415a29f47e6655e5c054999c
Baseball Stars Color: Pocket Sports Series,Baseball Stars Color: Pocket Sports Series ベースボールスターズ カラー ポケットスポーツシリーズ,baseballstarscolor,Japan,1999-03-19,Saurus/SNK,SNK,#players:2:vs #genre:sports>baseball #addon:link>ngplink #save:backup #compatibility:neogeopocket>mono>color #lang:ja,6f9f680b659369448f01508501c5a709,495199cd783e7cd962eece160dbc238a648c5e39,795a60b329dae73af701de42c941e1c9e63119c6ec332cd07a1d232df0f164be,2ce5aab6fb2f0d6f32823f76f9cb34b97cf24346dd776bc86a46aa374a1110ec63f88e3568848134ae0c059d5385ff8463f2e07e4ac81d3385c6ef6a22802342
Beast Busters: Yami no Seitai Heiki@ビーストバスター 闇の生体兵器,Beast Busters: Yami no Seitai Heiki@ビーストバスター 闇の生体兵器,beastbustersynsh,Japan,1999-10-21,Noise Factory/SNK,SNK,#players:1 #genre:rpg>a #addon:link>ngplink #save:backup #compatibility:neogeopocket>mono>color #lang:ja,4fb30b1b905ed1f975efb9a8fceb9a62,c32afc4348a1adbf9f6855b658b5eb5767e7ebcd,127eb5b597920f6f7aab2e0f92671b46c0d865cd5dec63581312af9b116cfd24,de75212446ecaa9b40162e476307df8c91b9b3eeb9d3e436049ce0b2ed3a9cab24ab14255e41332eb684b8bcccd50aae2a4dfebaac52fa5803e00eeaf3e41e42
Big Bang Pro Wrestling@ビッグバンプロレス,Big Bang Pro Wrestling@ビッグバンプロレス,bigbangprowrestling,Japan,2000-11-23,S-Neo/SNK,SNK,#players:2:vs #genre:fighting:sports>wrestling #compatibility:neogeopocket>color #lang:en:ja,184dc284995dc20ddce599426b9cac7d,5d0c956c2175d5af65c6e8595427fb1fea701ada,93a18ba454a1e15b5a8e3977e5e23c077c46dee5c03f55b23f75e12196feb5fe,2151c88397cecc2c611f9768f5d352041931df9e147c49fcb650b84a24844934008420feccdddfd1b4736b2ede5c8a4e473e81b62beee71cc728d6b5cc28c612
Big Tournament Golf,Big Tournament Golf: Pocket Sports Series@ビッグトーナメントゴルフ ポケットスポーツシリーズ,bigtournamentgolf,Japan,1999-07-29,Saurus/SNK,SNK,#players:2:vs #genre:sports>golf #addon:link>ngplink #save:backup #compatibility:neogeopocket>mono>color #lang:ja,1222a2eca8db9b54f044fa2fe2f50a61,308361297bd28ebb8fb60713ae5e00cee514415c,92c7b5a3d6d28f8918c030afb95f9e4c13038326b8391d7fb05feac26917051a,27425e681c86c52a73f5852c4a8f0548f37798661b94a2699000de5e437198331e12d7e16ccc2be2dab155789ecdac0ad32a1d8c12efaa425937d223325f1059
Bikkuriman 2000: Viva! Pocket Festival!@ビックリマン2000ビバ!ポケットフェスティバァ!,Bikkuriman 2000: Viva! Pocket Festival!@ビックリマン2000ビバ!ポケットフェスティバァ!,bikkuriman2000vpf,Japan,2000-03-16,SEGA Toys,SEGA,#players:1 #genre:action:adventure #addon:link>ngplink>setsuzoku #save:backup #compatibility:neogeopocket>color #based:manganime #lang:ja,ca3e26e2f539dbd35092fa9d7f561aff,62898d43cfc9ace86a53520ecf62abc6b0c404f3,2f930f4711ed36c66889a6ee84bc6446753aae264c27b1b3d0100bcf4f2e813a,4d5a655daf9e8077958bfbbfe2f379d5f9d2cb4263aebfdf68b45fc83d8ff7b8185eba7f4b5822ef3982289cbaeb0b454f1aa4a82af03b3230b6ddb94729f59e
Biomotor Unitron@バイオモーター ユニトロン,Biomotor Unitron@バイオモーター ユニトロン,biomotorunitron,Japan,1999-04-15,Yumekobo,SNK,#players:1 #genre:rpg>j #addon:link>ngplink #save:backup #compatibility:neogeopocket>mono>color #lang:ja,c98b2b19971effcedac7bf2abaf3d485,c81c21dd3536c91166181a36bee93d1803dceb07,c8307ddbffdd0151a77d5528164c0dda7b96320191c7ebf0929df30e5f734b8f,06a6d5dd6a1e1242f2bc8eaa6172a9f07d3700ba16cb05cbac538b6be3ab9e69fbea422cdb8ba87bf528a58ec7b2f3b3a9c17cf1ed35514f858aa7847423f228
Cool Boarders Pocket,Cool Boarders Pocket@Cool Boarders Pocket クールポーターズポケット,coolboarderspocket,Japan,2000-02-24,UEP Systems,SNK,#players:1 #genre:sports>snowboarding #save:backup #compatibility:neogeopocket>color #lang:ja,57b757bec66c0e53220593b78c63c6c0,86d30070b01e822fb042daeb41d6823d4ee6060a,cf5181576371e6fc394cb767a94f0f9dbd5eb93fcff395f7f7bfe9300d6ca814,c5c92204604d0293c0fb2b6145272b0819e280b4791571442dacda593828b636fc81f893e43ab24835a6f0671cecea16a39c57e648c4e993c5fc471e9cb8fc07
